B.Code,A.Level.Name,ED.Mean.T,Out.Unit.Amount,Out.Unit.Time,Out.Unit.Animals,flag
HK0118,TM 1,5.8452380952381e-5,kg,day,individual,too_low_kg
HK0118,TM 2,5.58333333333333e-5,kg,day,individual,too_low_kg
HK0118,TM 3,5.79761904761905e-5,kg,day,individual,too_low_kg
HK0118,TM 5,6.38095238095238e-5,kg,day,individual,too_low_kg
HK0228,Chicken meal sunflower oil cake,3e-4,kg,day,individual,too_low_kg
HK0228,Chicken viscera and groundnut oil cake,4.7e-4,kg,day,individual,too_low_kg
HK0228,Chicken viscera and soybean oil cake,4.1999999999999996e-4,kg,day,individual,too_low_kg
HK0228,Commercial diet 1,3.5999999999999997e-4,kg,day,individual,too_low_kg
HK0228,No Crop byproducts diet,5e-4,kg,day,individual,too_low_kg
HK0260,Centro,0.09290000000000001,kg,day,individual,too_low_kg
HK0260,Sirastro,0.07590000000000001,kg,day,individual,too_low_kg
HK0260,Stover Con,0.0485,kg,day,individual,too_low_kg
HK0260,Stylo,0.07840000000000001,kg,day,individual,too_low_kg
HK0319,L. jav 25 Diet,0.0204035714285714,kg,day,individual,too_low_kg
HK0319,Negative Control Diet,0.0219357142857143,kg,day,individual,too_low_kg
HK0331,Diet Con,7e-4,kg,day,individual,too_low_kg
HK0331,KLM 1,6.3e-4,kg,day,individual,too_low_kg
HK0331,KLM 2,5.8e-4,kg,day,individual,too_low_kg
HK0331,KLM 3,5.5e-4,kg,day,individual,too_low_kg
HK0331,KLM 4,5.200000000000001e-4,kg,day,individual,too_low_kg
HK0331,MLM 1,7e-4,kg,day,individual,too_low_kg
HK0331,MLM 2,5.5e-4,kg,day,individual,too_low_kg
HK0331,MLM 3,5.200000000000001e-4,kg,day,individual,too_low_kg
HK0331,MLM 4,4.5e-4,kg,day,individual,too_low_kg
HK0333,Con,0.0888285714285714,kg,day,individual,too_low_kg
HK0333,MOLM 1,0.0902857142857143,kg,day,individual,too_low_kg
HK0333,MOLM 2,0.0919714285714286,kg,day,individual,too_low_kg
HK0333,MOLM 3,0.0899142857142857,kg,day,individual,too_low_kg
HK0337,T100 Concentrate,0.078,kg,day,individual,too_low_kg
JO1001,UTS,0,kg,day,individual,too_low_kg
JO1010,Control,0,kg,day,individual,too_low_kg
JO1015,Feed 1,0,kg,day,individual,too_low_kg
JO1020,Ration 1,0,kg,day,individual,too_low_kg
JO1020,Ration 1,0,kg,day,individual,too_low_kg
JO1020,Ration 2,0,kg,day,individual,too_low_kg
JO1020,Ration 2,0,kg,day,individual,too_low_kg
JO1020,Ration 3,0,kg,day,individual,too_low_kg
JO1020,Ration 3,0,kg,day,individual,too_low_kg
JO1020,Ration 4,0,kg,day,individual,too_low_kg
JO1022,Feed 1,0,kg,day,individual,too_low_kg
JO1022,Feed 2,0.098,kg,day,individual,too_low_kg
JO1022,Feed 5,0,kg,day,individual,too_low_kg
JO1023,Cowpea 400g NF,0,kg,day,individual,too_low_kg
JO1023,Cowpea 400g NF,0,kg,day,individual,too_low_kg
JO1023,Lablab 300g NF,0,kg,day,individual,too_low_kg
JO1023,Lablab 300g NF,0,kg,day,individual,too_low_kg
JO1025,SPV 0,0,kg,day,individual,too_low_kg
JO1026,T1 PH100%,0,kg,day,individual,too_low_kg
JO1027,100C,0,kg,day,individual,too_low_kg
JO1027,100OV,0,kg,day,individual,too_low_kg
JO1027,67C 33OV,0.092,kg,day,individual,too_low_kg
JO1033,Feed 1,0,kg,day,individual,too_low_kg
JO1033,Feed 1,0,kg,day,individual,too_low_kg
JO1033,Feed 2,0,kg,day,individual,too_low_kg
JO1033,Feed 3,0,kg,day,individual,too_low_kg
JO1033,Feed 4,0,kg,day,individual,too_low_kg
JO1034,Control Feed,0.09981999999999999,kg,day,individual,too_low_kg
JO1036,Feed 1,0,kg,day,individual,too_low_kg
JO1038,Feed 1,0.05,kg,day,individual,too_low_kg
JO1040,UMTMS Feed,0,kg,day,individual,too_low_kg
JO1041,Feed 1,0,kg,day,individual,too_low_kg
JO1042,226CM T1,0,kg,day,individual,too_low_kg
JO1042,308MBH 87CM T5,0.08684,kg,day,individual,too_low_kg
JO1042,77MBH 192CM T2,0.077,kg,day,individual,too_low_kg
JO1044,Feed 1,0.09665,kg,day,individual,too_low_kg
JO1044,Feed 2,0.09751,kg,day,individual,too_low_kg
JO1044,Feed 3,0.09533,kg,day,individual,too_low_kg
