,D.Item,GE,Ash,CP,EE,NDF
162,moringa oleifera leaves dried ground,18.68888889,108,268.1666667,64,227.3333333
163,moringa oleifera leaves extract,NA,102.4,249.9,65.6,267.3
164,moringa oleifera leaves extract dried ground,18.8,108,268,64,227
165,moringa oleifera leaves ground,18.8,106.6666667,268.3333333,64,227
166,moringa oleifera root bark dried ground,NA,NA,NA,NA,NA
167,moringa oleifera seed cake ground,NA,NA,NA,NA,NA
168,moringa oleifera seed dried ground,NA,NA,NA,NA,NA
169,morus alba,18.2,123,191,56,309
170,morus indica leaves crushed dried,NA,176,176,NA,286
171,mucuna pruriens protein acid treated alkali treated dried ground,NA,NA,NA,NA,NA
172,mucuna pruriens protein isolate alkali treated boiled decorticated ground,NA,NA,NA,NA,NA
173,mung bean haulm,18,120.8,171,30,284
174,myrtus communis leaves dried ground,NA,NA,NA,NA,335.6
175,natuzyme,NA,NA,NA,NA,NA
176,oat grain,19.5,30,110,54,355
177,oat ground,19.5,30,110,54,355
178,occicum gatissimum dried ground,NA,NA,NA,NA,NA
179,olive leaves dried,NA,87.4,101.6,NA,345.9
180,onion bulb dried ethanol treated blended,NA,NA,NA,NA,NA
181,opuntia ficus indica cladode crushed,NA,NA,NA,NA,NA
182,opuntia ficus indica cladode dried ground,NA,98.5,79,22,320
183,opuntia ficus indica cladode ensiled,NA,NA,53.16,NA,245.24
184,opuntia ficus indica cladode ensiled singed,14.3,195,69,19,255
185,opuntia ficus indica dried ground,NA,NA,77,NA,NA
186,oryctes rhinoceros ground,NA,23.9,398.4,NA,NA
187,palm kernel cake dried ground,NA,NA,NA,NA,NA
188,panicum maximum ensiled,NA,133.4,148.7,28.3,NA
189,papaya leaves,18.4,132,256,66,NA
190,pericopis laxiflora leaves and twigs,NA,NA,NA,NA,NA
191,phoenix dactylifera leaves cellulase treated dried,NA,65.4,141.2,18.8,NA
192,phoenix dactylifera leaves cellulase treated dried fibrolytic treated,NA,NA,NA,NA,NA
193,phoenix dactylifera leaves dried fibrolytic treated,NA,66,142.4,19,NA
194,phyllanthus amarus dried ground,NA,NA,NA,NA,NA
195,piliostigma reticulatum pods crushed dried,NA,NA,NA,NA,NA
196,piliostigma thonningii pods crushed,NA,85,86.9,NA,NA
