"","B.Code","A.Level.Name","D.Item","D.Type","D.Amount","D.Unit.Amount","Percentage_of_Diet"
"137","AN0020","Control T1","Fish Ground","Animal",50.3360714285714,"g",100
"138","AN0020","T2","Wheat Offal Ground","Crop Byproduct",3.73912685714286,"g",7.72
"139","AN0020","T2","Toxynil Ground","Non-ERA Feed",0.00968685714285714,"g",0.02
"140","AN0020","T2","Mixture","Non-ERA Feed",0.121085714285714,"g",0.25
"141","AN0020","T2","Bone Ground","Other Feed",1.45302857142857,"g",3
"142","AN0020","T2","Enzyme","Non-ERA Feed",0.0968685714285714,"g",0.2
"143","AN0020","T2","African Palm Larvae Dried Ground","Animal",7.26514285714285,"g",15
"144","AN0020","T2","Methionine","Non-ERA Feed",0.121085714285714,"g",0.25
"145","AN0020","T2","Maize Ground","Crop Product",21.7954285714286,"g",45
"146","AN0020","T2","Lysine","Non-ERA Feed",0.0968685714285714,"g",0.2
"147","AN0020","T2","Palm Kernel Cake Ground","Crop Byproduct",13.5906605714286,"g",28.06
"148","AN0020","T2","Salt","Non-ERA Feed",0.145302857142857,"g",0.3
"149","AN0020","T3","Lysine","Non-ERA Feed",0.0980592857142858,"g",0.2
"150","AN0020","T3","Maize Ground","Crop Product",22.0633392857143,"g",45
"151","AN0020","T3","Winged Termite Dried Ground","Animal",7.35444642857143,"g",15
"152","AN0020","T3","Wheat Offal Ground","Crop Byproduct",3.78508842857143,"g",7.72
"153","AN0020","T3","Enzyme","Non-ERA Feed",0.0980592857142858,"g",0.2
"154","AN0020","T3","Bone Ground","Other Feed",1.47088928571429,"g",3
"155","AN0020","T3","Methionine","Non-ERA Feed",0.122574107142857,"g",0.25
"156","AN0020","T3","Salt","Non-ERA Feed",0.147088928571429,"g",0.3
"157","AN0020","T3","Mixture","Non-ERA Feed",0.122574107142857,"g",0.25
"158","AN0020","T3","Toxynil Ground","Non-ERA Feed",0.00980592857142858,"g",0.02
"159","AN0020","T3","Palm Kernel Cake Ground","Crop Byproduct",13.7577177857143,"g",28.06
"160","AN0021","U0","Rice Husk","Crop Byproduct",332.67,"g",39
"161","AN0021","U10","Rice Husk Dried Urea Treated","Crop Byproduct",326.2604,"g",38
"162","AN0021","U10","Urea","Non-ERA Feed",8.5858,"g",1
"163","AN0021","U15","Rice Husk Dried Urea Treated","Crop Byproduct",351.4556,"g",37
"164","AN0021","U15","Urea","Non-ERA Feed",14.2482,"g",1.5
"165","AN0021","U20","Rice Husk Dried Urea Treated","Crop Byproduct",347.0748,"g",37
"166","AN0021","U20","Urea","Non-ERA Feed",18.7608,"g",2
"167","AN0027","Control PDS","Maize","Crop Product",25,"% Diet",100
"168","AN0027","R1","Maize","Crop Product",12.5,"% Diet",33.3333333333333
"169","AN0027","R1","Date Seed Ground","Crop Byproduct",25,"% Diet",66.6666666666667
"170","AN0029","T2 1.5%","Fish Processing Waste","Animal",40,"%",40
"171","AN0029","T2 1.5%","Cassava Bran","Crop Byproduct",60,"%",60
"172","AN0029","T3 2.5%","Cassava Bran","Crop Byproduct",60,"%",60
"173","AN0029","T3 2.5%","Fish Processing Waste","Animal",40,"%",40
"174","AN0057","150 PPL","Pigeon Pea Leaves Dried","Crop Byproduct",140,"g",27.2904483430799
"175","AN0057","300 PPL","Pigeon Pea Leaves Dried","Crop Byproduct",269,"g",42.0970266040689
"176","AN0057","450 PPL","Pigeon Pea Leaves Dried","Crop Byproduct",395,"g",51.7693315858453
"177","AN0058","PJP 0","Maize Ground","Crop Product",8,"% Diet",100
"178","AN0058","PJP 10","Maize Ground","Crop Product",7.2,"% Diet",90
"179","AN0058","PJP 10","Prosopis juliflora Pods Ground","Other Feed",0.8,"% Diet",10
"180","AN0058","PJP 20","Prosopis juliflora Pods Ground","Other Feed",1.6,"% Diet",20
"181","AN0058","PJP 20","Maize Ground","Crop Product",6.4,"% Diet",80
"182","AN0058","PJP 30","Maize Ground","Crop Product",5.6,"% Diet",70
"183","AN0058","PJP 30","Prosopis juliflora Pods Ground","Other Feed",2.4,"% Diet",30
"184","B01063","Control Diet","Soybean Ground","Crop Product",0.942052500000001,"g",19.67
"185","B01063","Control Diet","Maize Ground","Crop Product",3.345795,"g",69.86
"186","B01063","Control Diet","Soybean Full Fat Ground","Crop Product",0.242816785714286,"g",5.07
"187","B01063","PEG0","Maize Ground","Crop Product",2.92180178571429,"g",62.69
"188","B01063","PEG0","Moringa oleifera Leaves Ground","Forage Plants",0.466071428571429,"g",10
"189","B01063","PEG0","Soybean Full Fat Ground","Crop Product",0.692582142857143,"g",14.86
"190","B01063","PEG0","Soybean Ground","Crop Product",0.328580357142857,"g",7.05
"191","B01063","PEG100","Soybean Full Fat Ground","Crop Product",0.681277928571429,"g",14.86
"192","B01063","PEG100","Maize Ground","Crop Product",2.87411260714286,"g",62.69
"193","B01063","PEG100","Soybean Ground","Crop Product",0.323217321428572,"g",7.05
"194","B01063","PEG100","Moringa oleifera Leaves Ground","Forage Plants",0.458464285714286,"g",10
"195","B01063","PEG100","Polyethylene glycol","Other Ingredients",0.458464285714286,"g",10
"196","B01063","PEG25","Polyethylene glycol","Other Ingredients",0.123125,"g",2.5
"197","B01063","PEG25","Soybean Full Fat Ground","Crop Product",0.731855,"g",14.86
"198","B01063","PEG25","Soybean Ground","Crop Product",0.3472125,"g",7.05
"199","B01063","PEG25","Moringa oleifera Leaves Ground","Forage Plants",0.4925,"g",10
"200","B01063","PEG25","Maize Ground","Crop Product",3.0874825,"g",62.69
"201","B01063","PEG50","Polyethylene glycol","Other Ingredients",0.245535714285715,"g",5
"202","B01063","PEG50","Moringa oleifera Leaves Ground","Forage Plants",0.491071428571429,"g",10
"203","B01063","PEG50","Maize Ground","Crop Product",3.07852678571429,"g",62.69
"204","B01063","PEG50","Soybean Ground","Crop Product",0.346205357142857,"g",7.05
"205","B01063","PEG50","Soybean Full Fat Ground","Crop Product",0.729732142857143,"g",14.86
"206","B01063","PEG75","Moringa oleifera Leaves Ground","Forage Plants",0.475357142857143,"g",10
"207","B01063","PEG75","Maize Ground","Crop Product",2.98001392857143,"g",62.69
"208","B01063","PEG75","Soybean Ground","Crop Product",0.335126785714286,"g",7.05
"209","B01063","PEG75","Soybean Full Fat Ground","Crop Product",0.706380714285714,"g",14.86
"210","B01063","PEG75","Polyethylene glycol","Other Ingredients",0.356517857142857,"g",7.5
"211","BO1001","Diet 2","Sesbania sesban Dried","Forage Plants",100,"g",12.636952977898
"212","BO1001","Diet 3","Sesbania sesban Dried","Forage Plants",200,"g",23.7936613686114
"213","BO1001","Diet 4","Sesbania sesban Dried","Forage Plants",300,"g",32.2092311656521
"214","BO1001","Diet 5","Sesbania sesban Dried","Forage Plants",400,"g",39.3809317528453
"215","BO1002","Control","Concentrate",NA,708.6,"g",60
"216","BO1003","C25","Cynodon Dried","Forage Plants",245.44984,"g",54.7
"217","BO1003","C25","Bracharia Dried","Forage Plants",37.24376,"g",8.3
"218","BO1003","C25","Urea","Supplement",6.7308,"g",1.5
"219","BO1003","C25","Opuntia ficus indica Cladode Crushed","Forage Plants",114.4236,"g",25.5
