B.Code,A.Level.Name,D.Item,D.Type,D.Amount,D.Unit.Amount,D.Unit.Time,D.Unit.Animals,DC.Is.Dry,D.Ad.lib,D.Item.Group,Source,Units,T.Animals,Out.WG.Start,Out.WG.Unit,basal_intake_status,Prediction_Source,Prediction_Source.from_AName,from_feed_intake,T.Name,T.Control
AG0042,60% UF SOPM,Soybean Ground,Crop Product,39.48,g,day,individual,Yes,NA,UF SOP Supplement,livestock,g;day;individual,1,9.25,kg,NA,NA,NA,FALSE,60% UF SOPM,no
AG0042,60% UF SOPM,Bone Ground,Other Feed,4,g,day,individual,Yes,NA,UF SOP Supplement,livestock,g;day;individual,1,9.25,kg,NA,NA,NA,FALSE,60% UF SOPM,no
AG0042,60% UF SOPM,Orange Dried,Byproduct Fodders,68.72,g,day,individual,Yes,NA,UF SOP Supplement,livestock,g;day;individual,1,9.25,kg,NA,NA,NA,FALSE,60% UF SOPM,no
AG0042,Con,Salt,Non-ERA Feed,2,g,day,individual,Yes,NA,Con Supplement,livestock,g;day;individual,1,9.83,kg,NA,NA,NA,FALSE,Con,yes
AG0042,Con,Soybean Ground,Crop Product,39.48,g,day,individual,Yes,NA,Con Supplement,livestock,g;day;individual,1,9.83,kg,NA,NA,NA,FALSE,Con,yes
AG0042,Con,Rice Offal,Byproduct Fodders,40,g,day,individual,Yes,NA,Con Supplement,livestock,g;day;individual,1,9.83,kg,NA,NA,NA,FALSE,Con,yes
AG0042,Con,Maize Offal,Crop Byproduct,114.52,g,day,individual,Yes,NA,Con Supplement,livestock,g;day;individual,1,9.83,kg,NA,NA,NA,FALSE,Con,yes
AG0042,Con,Bone Ground,Other Feed,4,g,day,individual,Yes,NA,Con Supplement,livestock,g;day;individual,1,9.83,kg,NA,NA,NA,FALSE,Con,yes
AG0050,CPL,Cassava Peel,Crop Byproduct,24,g,NA,NA,Yes,NA,NA,livestock,g;NA;NA,20,0.006860000000000001,kg,NA,NA,NA,FALSE,CPL,no
AG0050,CSH,Fish Mix,Other Feed,5,g,NA,NA,Unspecified,NA,Base,livestock,g;NA;NA,20,0.00687,kg,NA,NA,NA,FALSE,CSH,no
AG0050,CSH,Cassava Shaft Ground,Crop Byproduct,24,g,NA,NA,Yes,NA,NA,livestock,g;NA;NA,20,0.00687,kg,NA,NA,NA,FALSE,CSH,no
AG0050,CSH,Vitamin Mix,Non-ERA Feed,2,g,NA,NA,Unspecified,NA,Base,livestock,g;NA;NA,20,0.00687,kg,NA,NA,NA,FALSE,CSH,no
AG0050,CSH,Lysine,Non-ERA Feed,1,g,NA,NA,Unspecified,NA,Base,livestock,g;NA;NA,20,0.00687,kg,NA,NA,NA,FALSE,CSH,no
AG0050,CSH,Oyster Shells,Non-ERA Feed,2,g,NA,NA,Unspecified,NA,Base,livestock,g;NA;NA,20,0.00687,kg,NA,NA,NA,FALSE,CSH,no
AG0050,CSH,Methionine,Non-ERA Feed,1,g,NA,NA,Unspecified,NA,Base,livestock,g;NA;NA,20,0.00687,kg,NA,NA,NA,FALSE,CSH,no
AG0050,CSH,Soybean Ground,Crop Product,25.35,g,NA,NA,Unspecified,NA,Base,livestock,g;NA;NA,20,0.00687,kg,NA,NA,NA,FALSE,CSH,no
AG0050,CSH,Fish Ground,Animal,30.65,g,NA,NA,Unspecified,NA,Base,livestock,g;NA;NA,20,0.00687,kg,NA,NA,NA,FALSE,CSH,no
AG0050,CSH,Rice Bran,Crop Byproduct,3,g,NA,NA,Unspecified,NA,Base,livestock,g;NA;NA,20,0.00687,kg,NA,NA,NA,FALSE,CSH,no
AG0050,CSH,Vegetable Oil,Crop Byproduct,5,g,NA,NA,Unspecified,NA,Base,livestock,g;NA;NA,20,0.00687,kg,NA,NA,NA,FALSE,CSH,no
AG0050,CSH,Salt,Non-ERA Feed,1,g,NA,NA,Unspecified,NA,Base,livestock,g;NA;NA,20,0.00687,kg,NA,NA,NA,FALSE,CSH,no
AG0050,CST,Cassava Starch,Crop Product,24,g,NA,NA,Yes,NA,NA,livestock,g;NA;NA,20,0.00688,kg,NA,NA,NA,FALSE,CST,no
AG0050,CTB,Cassava Tuber Boiled Dried Ground,Crop Product,24,g,NA,NA,No,NA,NA,livestock,g;NA;NA,20,0.00688,kg,NA,NA,NA,FALSE,CTB,no
AG0050,Control,Maize Ground,Crop Product,24,g,NA,NA,Unspecified,NA,NA,livestock,g;NA;NA,20,0.0069900000000000006,kg,NA,NA,NA,FALSE,CTR,yes
AG0051,NG,Pennisetum purpureum,Herbaceous Fodders,8300,g,NA,NA,Yes,NA,NA,livestock,% Diet;NA;NA,10,NA,NA,NA,NA,NA,FALSE,NG,yes
AG0051,NGD,Desmodium distortum,Herbaceous Fodders,2459.9999999999995,g,NA,NA,Yes,NA,NA,livestock,% Diet;NA;NA,10,NA,NA,NA,NA,NA,FALSE,NGD,no
AG0051,NGD,Pennisetum purpureum,Herbaceous Fodders,5739.999999999999,g,NA,NA,Yes,NA,NA,livestock,% Diet;NA;NA,10,NA,NA,NA,NA,NA,FALSE,NGD,no
AG0051,PG,Brachiaria brizantha,Herbaceous Fodders,9100,g,NA,NA,Yes,NA,NA,livestock,% Diet;NA;NA,10,NA,NA,NA,NA,NA,FALSE,PG,yes
AG0051,PGD,Desmodium distortum,Herbaceous Fodders,2760,g,NA,NA,Yes,NA,NA,livestock,% Diet;NA;NA,10,NA,NA,NA,NA,NA,FALSE,PGD,no
AG0051,PGD,Brachiaria brizantha,Herbaceous Fodders,6439.999999999999,g,NA,NA,Yes,NA,NA,livestock,% Diet;NA;NA,10,NA,NA,NA,NA,NA,FALSE,PGD,no
AG0087,Control,Sorghum Grain,Crop Product,54,% Diet,NA,NA,Yes,NA,NA,livestock,% Diet;NA;NA,10,1.2346400000000002,kg,NA,NA,NA,FALSE,Control,yes
AG0087,Control,Salt,Non-ERA Feed,0.3,% Diet,NA,NA,Yes,NA,Base,livestock,% Diet;NA;NA,10,1.2346400000000002,kg,NA,NA,NA,FALSE,Control,yes
AG0087,Control,Lime,Non-ERA Feed,10,% Diet,NA,NA,Yes,NA,Base,livestock,% Diet;NA;NA,10,1.2346400000000002,kg,NA,NA,NA,FALSE,Control,yes
AG0087,Control,Mixture,Non-ERA Feed,0.1,% Diet,NA,NA,Yes,NA,Base,livestock,% Diet;NA;NA,10,1.2346400000000002,kg,NA,NA,NA,FALSE,Control,yes
AG0087,Control,Methionine,Non-ERA Feed,0.04,% Diet,NA,NA,Yes,NA,Base,livestock,% Diet;NA;NA,10,1.2346400000000002,kg,NA,NA,NA,FALSE,Control,yes
AG0087,Control,Dicalcium Phosphate,Non-ERA Feed,0.25,% Diet,NA,NA,Yes,NA,Base,livestock,% Diet;NA;NA,10,1.2346400000000002,kg,NA,NA,NA,FALSE,Control,yes
AG0087,Control,Lysine - HCl,Non-ERA Feed,0.1,% Diet,NA,NA,Yes,NA,Base,livestock,% Diet;NA;NA,10,1.2346400000000002,kg,NA,NA,NA,FALSE,Control,yes
AG0087,Control,Antitoxins,Non-ERA Feed,0.2,% Diet,NA,NA,Yes,NA,Base,livestock,% Diet;NA;NA,10,1.2346400000000002,kg,NA,NA,NA,FALSE,Control,yes
AG0087,Control,Wheat Bran,Crop Byproduct,18,% Diet,NA,NA,Yes,NA,Base,livestock,% Diet;NA;NA,10,1.2346400000000002,kg,NA,NA,NA,FALSE,Control,yes
AG0087,Control,Imported Concentrate,Other Feed,5,% Diet,NA,NA,Yes,NA,NA,livestock,% Diet;NA;NA,10,1.2346400000000002,kg,NA,NA,NA,FALSE,Control,yes
AG0087,Control,Groundnut Cake,Crop Byproduct,12.01,% Diet,NA,NA,Yes,NA,NA,livestock,% Diet;NA;NA,10,1.2346400000000002,kg,NA,NA,NA,FALSE,Control,yes
AG0087,Direct boiling DF 1.5%,Fish Boiled Ground,Animal,1.5,% Diet,NA,NA,Yes,NA,NA,livestock,% Diet;NA;NA,10,1.1635,kg,NA,NA,NA,FALSE,Direct boiling DF 1.5%,no
AG0087,Direct boiling DF 1.5%,Groundnut Cake,Crop Byproduct,12.01,% Diet,NA,NA,Yes,NA,NA,livestock,% Diet;NA;NA,10,1.1635,kg,NA,NA,NA,FALSE,Direct boiling DF 1.5%,no
AG0087,Direct boiling DF 1.5%,Sorghum Grain,Crop Product,54,% Diet,NA,NA,Yes,NA,NA,livestock,% Diet;NA;NA,10,1.1635,kg,NA,NA,NA,FALSE,Direct boiling DF 1.5%,no
AG0087,Direct boiling DF 3.5%,Groundnut Cake,Crop Byproduct,12.01,% Diet,NA,NA,Yes,NA,NA,livestock,% Diet;NA;NA,10,1.1790999999999998,kg,NA,NA,NA,FALSE,Direct boiling DF 3.5%,no
AG0087,Direct boiling DF 3.5%,Imported Concentrate,Other Feed,1.5,% Diet,NA,NA,Yes,NA,NA,livestock,% Diet;NA;NA,10,1.1790999999999998,kg,NA,NA,NA,FALSE,Direct boiling DF 3.5%,no
AG0087,Direct boiling DF 3.5%,Fish Boiled Ground,Animal,3.5,% Diet,NA,NA,Yes,NA,NA,livestock,% Diet;NA;NA,10,1.1790999999999998,kg,NA,NA,NA,FALSE,Direct boiling DF 3.5%,no
AG0087,Direct boiling DF 3.5%,Sorghum Grain,Crop Product,54,% Diet,NA,NA,Yes,NA,NA,livestock,% Diet;NA;NA,10,1.1790999999999998,kg,NA,NA,NA,FALSE,Direct boiling DF 3.5%,no
AG0087,Direct boiling DF 5%,Sorghum Grain,Crop Product,54,% Diet,NA,NA,Yes,NA,NA,livestock,% Diet;NA;NA,10,1.17054,kg,NA,NA,NA,FALSE,Direct boiling DF 5%,no
AG0087,Direct boiling DF 5%,Imported Concentrate,Other Feed,3.5,% Diet,NA,NA,Yes,NA,NA,livestock,% Diet;NA;NA,10,1.17054,kg,NA,NA,NA,FALSE,Direct boiling DF 5%,no
AG0087,Direct boiling DF 5%,Groundnut Cake,Crop Byproduct,12.01,% Diet,NA,NA,Yes,NA,NA,livestock,% Diet;NA;NA,10,1.17054,kg,NA,NA,NA,FALSE,Direct boiling DF 5%,no
AG0087,Direct boiling DF 5%,Fish Boiled Ground,Animal,5,% Diet,NA,NA,Yes,NA,NA,livestock,% Diet;NA;NA,10,1.17054,kg,NA,NA,NA,FALSE,Direct boiling DF 5%,no
AG0087,Indirect boiling DF 1.5%,Sorghum Grain,Crop Product,54,% Diet,NA,NA,Yes,NA,NA,livestock,% Diet;NA;NA,10,1.16592,kg,NA,NA,NA,FALSE,Indirect boiling DF 1.5%,no
AG0087,Indirect boiling DF 1.5%,Groundnut Cake,Crop Byproduct,12.01,% Diet,NA,NA,Yes,NA,NA,livestock,% Diet;NA;NA,10,1.16592,kg,NA,NA,NA,FALSE,Indirect boiling DF 1.5%,no
AG0087,Indirect boiling DF 1.5%,Fish Boiled Ground,Animal,1.5,% Diet,NA,NA,Yes,NA,NA,livestock,% Diet;NA;NA,10,1.16592,kg,NA,NA,NA,FALSE,Indirect boiling DF 1.5%,no
AG0087,Indirect boiling DF 3.5%,Groundnut Cake,Crop Byproduct,12.01,% Diet,NA,NA,Yes,NA,NA,livestock,% Diet;NA;NA,10,1.15016,kg,NA,NA,NA,FALSE,Indirect boiling DF 3.5%,no
AG0087,Indirect boiling DF 3.5%,Fish Boiled Ground,Animal,3.5,% Diet,NA,NA,Yes,NA,NA,livestock,% Diet;NA;NA,10,1.15016,kg,NA,NA,NA,FALSE,Indirect boiling DF 3.5%,no
AG0087,Indirect boiling DF 3.5%,Sorghum Grain,Crop Product,53.97,% Diet,NA,NA,Yes,NA,NA,livestock,% Diet;NA;NA,10,1.15016,kg,NA,NA,NA,FALSE,Indirect boiling DF 3.5%,no
AG0087,Indirect boiling DF 3.5%,Imported Concentrate,Other Feed,1.5,% Diet,NA,NA,Yes,NA,NA,livestock,% Diet;NA;NA,10,1.15016,kg,NA,NA,NA,FALSE,Indirect boiling DF 3.5%,no
AG0087,Indirect boiling DF 5%,Fish Boiled Ground,Animal,5,% Diet,NA,NA,Yes,NA,NA,livestock,% Diet;NA;NA,10,1.1636099999999998,kg,NA,NA,NA,FALSE,Indirect boiling DF 5%,no
AG0087,Indirect boiling DF 5%,Groundnut Cake,Crop Byproduct,12.01,% Diet,NA,NA,Yes,NA,NA,livestock,% Diet;NA;NA,10,1.1636099999999998,kg,NA,NA,NA,FALSE,Indirect boiling DF 5%,no
AG0087,Indirect boiling DF 5%,Sorghum Grain,Crop Product,54,% Diet,NA,NA,Yes,NA,NA,livestock,% Diet;NA;NA,10,1.1636099999999998,kg,NA,NA,NA,FALSE,Indirect boiling DF 5%,no
AG0087,Indirect boiling DF 5%,Imported Concentrate,Other Feed,3.5,% Diet,NA,NA,Yes,NA,NA,livestock,% Diet;NA;NA,10,1.1636099999999998,kg,NA,NA,NA,FALSE,Indirect boiling DF 5%,no
