"","scope","B.Code","D.Item","CP","NDF","Ash","EE","GE","M7_Category"
"274","diet","JS0293","d1 100% fsf",182,NA,66.8,71.5,NA,NA
"275","diet","JS0293","d2 67% fsf",183,NA,65.6,70.4,NA,NA
"276","diet","JS0293","d3 33% fsf",184,NA,62.7,69.1,NA,NA
"277","diet","JS0293","d4 0% fsf",185,NA,59.6,68.1,NA,NA
"278","diet","JS0296","con",352.2,NA,73,NA,NA,NA
"279","diet","JS0296","maize g 1",357.2,NA,61.6,NA,NA,NA
"280","diet","JS0296","maize g 2",354.6,NA,49.5,NA,NA,NA
"281","diet","JS0296","maize g 3",349.6,NA,39,NA,NA,NA
"282","diet","JS0299","control diet bundle 1",160.3,NA,50.6,NA,15.85,NA
"283","diet","JS0301","100% ftl",57.11,NA,NA,NA,NA,NA
"284","diet","JS0301","25% ftl",57.49,NA,NA,NA,NA,NA
"285","diet","JS0301","50% ftl",57.36,NA,NA,NA,NA,NA
"286","diet","JS0301","75% ftl",57.23,NA,NA,NA,NA,NA
"287","diet","JS0301","no ftl",57.62,NA,NA,NA,NA,NA
"288","diet","JS0305","con maize",117,NA,NA,20.6,NA,NA
"289","diet","JS0305","sugar bp 1",117,NA,NA,18.9,NA,NA
"290","diet","JS0305","sugar bp 2",117,NA,NA,15.4,NA,NA
"291","diet","JS0305","sugar bp 3",117,NA,NA,12.9,NA,NA
"292","diet","JS0306","0% moc",138.8,285.75,NA,NA,NA,NA
"293","diet","JS0306","10% moc",138.6,359.58,NA,NA,NA,NA
"294","diet","JS0306","5% moc",138.5,325.72,NA,NA,NA,NA
"295","diet","JS0344","con",14,320,NA,37,NA,NA
"296","diet","JS0349","control diet",136,NA,NA,NA,NA,NA
"297","diet","JS0349","rosemary leaves diet",136,NA,NA,NA,NA,NA
"298","diet","JS0371","control",89.5,NA,18.5,49.5,NA,NA
"299","diet","JS0371","jatropha 12",129.4,NA,30.9,63.4,NA,NA
"300","diet","JS0371","jatropha 4",103.6,NA,22.5,54.1,NA,NA
"301","diet","JS0371","jatropha 8",113.7,NA,27,50,NA,NA
"302","diet","JS0423","d no phosphorus",401,NA,41.3,NA,NA,NA
"303","diet","JS0423","d1 0.1 % phosphorus",401,NA,41.5,NA,NA,NA
"304","diet","JS0423","d10 1% phosphorus",402,NA,40.8,NA,NA,NA
"305","diet","JS0423","d2 0.2% phosphorus",400,NA,42.1,NA,NA,NA
"306","diet","JS0423","d3 0.3% phosphorus",401,NA,42.6,NA,NA,NA
"307","diet","JS0423","d4 0.4% phosphorus",401,NA,43.5,NA,NA,NA
"308","diet","JS0423","d5 0.5% phosphorus",401,NA,44.1,NA,NA,NA
"309","diet","JS0423","d6 0.6% phosphorus",400,NA,41.8,NA,NA,NA
