"","B.Code","A.Level.Name","diet_intake_kg","Source"
"169","BO1035","Guinea Diet",0.719,"feed_intake"
"170","BO1035","Rhodes Diet",0.696,"feed_intake"
"171","BO1037","0% cabbage carrot waste",0.30589,"feed_intake"
"172","BO1037","10% cabbage waste",0.29976,"feed_intake"
"173","BO1037","10% carrot waste",0.32592,"feed_intake"
"174","BO1037","5% carrot 5% cabbage waste",0.31058,"feed_intake"
"175","BO1038","0% treated rice offal",9.51,"feed_intake"
"176","BO1038","10% treated rice offal",9.99,"feed_intake"
"177","BO1038","15% treated rice ofall",9.3,"feed_intake"
"178","BO1038","5% treated rice offal",9.59,"feed_intake"
"179","BO1039","400 g B.balcooa",0.469,"feed_intake"
"180","BO1039","400 g O. abyssinica",0.456,"feed_intake"
"181","BO1039","600 g B.balcooa",0.415,"feed_intake"
"182","BO1039","600 g O. abyssinica",0.443,"feed_intake"
"183","BO1039","Control diet",0.398,"feed_intake"
"184","BO1040","Control group",9.61,"feed_intake"
"185","BO1040","R-SAF",10.03,"feed_intake"
"186","BO1040","R-SUN",10.18,"feed_intake"
"187","BO1042","0% cashew nut shell",0.09154,"feed_intake"
"188","BO1042","10% cashew nut shell",0.08565,"feed_intake"
"189","BO1042","15% cashew nut shell",0.06737,"feed_intake"
"190","BO1042","20% cashew nut shell",0.04465,"feed_intake"
"191","BO1043","T1 0 SCPM 100 CPM",0.34977,"feed_intake"
"192","BO1043","T2 25 SCPM 75 CPM",0.28074,"feed_intake"
"193","BO1043","T3 50 SCPM 50 CPM",0.33819,"feed_intake"
"194","BO1043","T4 75 SCPM 25 CPM",0.31094,"feed_intake"
"195","BO1044","T1 (GG100%)",0.48075,"feed_intake"
"196","BO1044","T2 (GG80% + CSP10% + SBCW10%)",0.499,"feed_intake"
"197","BO1044","T3 (GG60% + CSP30% + SBCW10%)",0.56775,"feed_intake"
"198","BO1044","T4 (GG40% + CSP50% + SBCW10%)",0.62825,"feed_intake"
"199","BO1045","R1: 70% CFM + 30% BS",1.452,"feed_intake"
"200","BO1045","R2: 70% CFM + 30% BS + 3% FA",1.44,"feed_intake"
"201","BO1045","R3: 70% CFM + 30% (BH)",1.457,"feed_intake"
"202","BO1045","R4: 70% CFM + 30% BH + 3% FA",1.462,"feed_intake"
"203","BO1046","Basal Diet + Cowpea Residues (Ama)",0.36,"feed_intake"
"204","BO1046","Basal Diet + Cowpea Residues (Ate)",0.352,"feed_intake"
"205","BO1046","Basal Diet + Groundnut Residues (Ama)",0.318,"feed_intake"
"206","BO1046","Basal Diet + Groundnut Residues (Ate)",0.332,"feed_intake"
"207","BO1046","Basal Diet Only (Ama)",0.443,"feed_intake"
"208","BO1046","Basal Diet Only (Ate)",0.42,"feed_intake"
"209","BO1047",NA,0.8907,"feed_intake"
"210","BO1048","60:40 ratio",0.05719,"feed_intake"
"211","BO1048","70;30 ratio",0.05421,"feed_intake"
"212","BO1048","80:20 ratio",0.05018,"feed_intake"
"213","BO1048","90;10 ratio",0.04011,"feed_intake"
"214","BO1049","CFM + BH",1.27511,"feed_intake"
"215","BO1049","CFM + Cellulase & fibrolytic treated DPL + BH",1.35403,"feed_intake"
"216","BO1049","CFM + Cellulase treated DPL +BH",1.3759,"feed_intake"
"217","BO1049","CFM + Fibrolytic treated DPL + BH",1.16453,"feed_intake"
"218","BO1049","CFM + untreated DPL + BH",1.28838,"feed_intake"
"219","BO1050","0 sesame",0.5435,"feed_intake"
"220","BO1050","150 sesame",0.65412,"feed_intake"
"221","BO1050","200 sesame",0.67218,"feed_intake"
"222","BO1050","250 sesame",0.69862,"feed_intake"
"223","BO1050","300 sesame",0.73988,"feed_intake"
"224","BO1051","Citrus pulp treated",0.74294,"feed_intake"
"225","BO1051","Grape seeds treated",0.73762,"feed_intake"
"226","BO1051","Jojoba meal treated",0.58857,"feed_intake"
"227","BO1051","Olive cake treated",0.61737,"feed_intake"
"228","BO1051","Sugar beet pulp treated",0.63061,"feed_intake"
"229","BO1052","0% untreated WMV",16.7,"feed_intake"
"230","BO1052","100% treated WMV",16.3,"feed_intake"
"231","BO1052","25% treated WMV",16.7,"feed_intake"
"232","BO1052","50% treated WMV",16.6,"feed_intake"
"233","BO1052","75% treated WMV",16.3,"feed_intake"
"234","BO1053","inoculated silage buffalo",15.99,"feed_intake"
"235","BO1053","inoculated silage cattle",15.68,"feed_intake"
"236","BO1053","non-inoculated silage buffalo",15.21,"feed_intake"
"237","BO1053","non-inoculated silage cattle",14.75,"feed_intake"
"238","BO1054","0 PCK",8.4,"feed_intake"
"239","BO1054","10 PCK",8.75,"feed_intake"
"240","BO1054","20 PCK",8.2,"feed_intake"
"241","BO1054","30 PCK",8.49,"feed_intake"
"242","BO1054","40 PCK",8.36,"feed_intake"
