"","B.Code","A.Level.Name","D.Item","D.Type","D.Amount","D.Unit.Amount","D.Unit.Time","D.Unit.Animals","DC.Is.Dry","D.Ad.lib","D.Item.Group","Source","Units","T.Animals","Out.WG.Start","Out.WG.Unit","basal_intake_status","Prediction_Source","Prediction_Source.from_AName","from_feed_intake","T.Name","T.Control","D.Item_raw","Ingredient_Category","Ingredient_Category_orig","Category_Source.x","Category_Source.y"
"32","AG0042","60% uf sopm","maize offal","Crop Byproduct",45.8,"g","day","individual","Yes",NA,"UF SOP Supplement","livestock","g;day;individual",1,9.25,"kg",NA,NA,NA,FALSE,"60% UF SOPM","no","maize offal","Good forage","Good forage",NA,NA
"33","AG0042","60% uf sopm","rice offal","Byproduct Fodders",40,"g","day","individual","Yes",NA,"UF SOP Supplement","livestock","g;day;individual",1,9.25,"kg",NA,NA,NA,FALSE,"60% UF SOPM","no","rice offal","High-fat","High-fat",NA,NA
"34","AG0042","60% uf sopm","soybean ground","Crop Product",39.48,"g","day","individual","Yes",NA,"UF SOP Supplement","livestock","g;day;individual",1,9.25,"kg",NA,NA,NA,FALSE,"60% UF SOPM","no","soybean ground","Protein","Protein",NA,NA
"35","AG0042","60% uf sopm","bone ground","Other Feed",4,"g","day","individual","Yes",NA,"UF SOP Supplement","livestock","g;day;individual",1,9.25,"kg",NA,NA,NA,FALSE,"60% UF SOPM","no","bone ground","Mineral/Vitamin","Mineral/Vitamin",NA,NA
"36","AG0042","60% uf sopm","orange dried","Byproduct Fodders",68.72,"g","day","individual","Yes",NA,"UF SOP Supplement","livestock","g;day;individual",1,9.25,"kg",NA,NA,NA,FALSE,"60% UF SOPM","no","orange dried","High-starch","High-starch",NA,NA
"37","AG0042","con","soybean ground","Crop Product",39.48,"g","day","individual","Yes",NA,"Con Supplement","livestock","g;day;individual",1,9.83,"kg",NA,NA,NA,FALSE,"Con","yes","soybean ground","Protein","Protein",NA,NA
"38","AG0042","con","rice offal","Byproduct Fodders",40,"g","day","individual","Yes",NA,"Con Supplement","livestock","g;day;individual",1,9.83,"kg",NA,NA,NA,FALSE,"Con","yes","rice offal","High-fat","High-fat",NA,NA
"39","AG0042","con","maize offal","Crop Byproduct",114.52,"g","day","individual","Yes",NA,"Con Supplement","livestock","g;day;individual",1,9.83,"kg",NA,NA,NA,FALSE,"Con","yes","maize offal","Good forage","Good forage",NA,NA
"40","AG0042","con","bone ground","Other Feed",4,"g","day","individual","Yes",NA,"Con Supplement","livestock","g;day;individual",1,9.83,"kg",NA,NA,NA,FALSE,"Con","yes","bone ground","Mineral/Vitamin","Mineral/Vitamin",NA,NA
"41","AG0050","cpl","cassava peel","Crop Byproduct",24,"g",NA,NA,"Yes",NA,NA,"livestock","g;NA;NA",20,0.00686,"kg",NA,NA,NA,FALSE,"CPL","no","cassava peel","Good forage","Good forage",NA,NA
"42","AG0050","cst","cassava starch","Crop Product",24,"g",NA,NA,"Yes",NA,NA,"livestock","g;NA;NA",20,0.00688,"kg",NA,NA,NA,FALSE,"CST","no","cassava starch","High-starch","High-starch",NA,NA
"43","AG0051","ng","pennisetum purpureum","Herbaceous Fodders",8300,"g",NA,NA,"Yes",NA,NA,"livestock","% Diet;NA;NA",10,NA,NA,NA,NA,NA,FALSE,"NG","yes","pennisetum purpureum","Poor forage","Poor forage",NA,NA
"44","AG0051","ngd","desmodium distortum","Herbaceous Fodders",2460,"g",NA,NA,"Yes",NA,NA,"livestock","% Diet;NA;NA",10,NA,NA,NA,NA,NA,FALSE,"NGD","no","desmodium distortum","Good forage","Good forage",NA,NA
"45","AG0051","ngd","pennisetum purpureum","Herbaceous Fodders",5740,"g",NA,NA,"Yes",NA,NA,"livestock","% Diet;NA;NA",10,NA,NA,NA,NA,NA,FALSE,"NGD","no","pennisetum purpureum","Poor forage","Poor forage",NA,NA
"46","AG0051","pg","brachiaria brizantha","Herbaceous Fodders",9100,"g",NA,NA,"Yes",NA,NA,"livestock","% Diet;NA;NA",10,NA,NA,NA,NA,NA,FALSE,"PG","yes","brachiaria brizantha","Poor forage","Poor forage",NA,NA
"47","AG0051","pgd","desmodium distortum","Herbaceous Fodders",2760,"g",NA,NA,"Yes",NA,NA,"livestock","% Diet;NA;NA",10,NA,NA,NA,NA,NA,FALSE,"PGD","no","desmodium distortum","Good forage","Good forage",NA,NA
"48","AG0051","pgd","brachiaria brizantha","Herbaceous Fodders",6440,"g",NA,NA,"Yes",NA,NA,"livestock","% Diet;NA;NA",10,NA,NA,NA,NA,NA,FALSE,"PGD","no","brachiaria brizantha","Poor forage","Poor forage",NA,NA
"49","AG0087","control","sorghum grain","Crop Product",54,"% Diet",NA,NA,"Yes",NA,NA,"livestock","% Diet;NA;NA",10,1.23464,"kg",NA,NA,NA,FALSE,"Control","yes","sorghum grain","High-starch","High-starch",NA,NA
"50","AG0087","control","imported concentrate","Other Feed",5,"% Diet",NA,NA,"Yes",NA,NA,"livestock","% Diet;NA;NA",10,1.23464,"kg",NA,NA,NA,FALSE,"Control","yes","imported concentrate","Protein","Protein",NA,NA
"51","AG0087","control","groundnut cake","Crop Byproduct",12.01,"% Diet",NA,NA,"Yes",NA,NA,"livestock","% Diet;NA;NA",10,1.23464,"kg",NA,NA,NA,FALSE,"Control","yes","groundnut cake","Protein","Protein",NA,NA
"52","AG0087","direct boiling df 1.5%","fish boiled ground","Animal",1.5,"% Diet",NA,NA,"Yes",NA,NA,"livestock","% Diet;NA;NA",10,1.1635,"kg",NA,NA,NA,FALSE,"Direct boiling DF 1.5%","no","fish boiled ground","Protein","Protein",NA,NA
"53","AG0087","direct boiling df 1.5%","groundnut cake","Crop Byproduct",12.01,"% Diet",NA,NA,"Yes",NA,NA,"livestock","% Diet;NA;NA",10,1.1635,"kg",NA,NA,NA,FALSE,"Direct boiling DF 1.5%","no","groundnut cake","Protein","Protein",NA,NA
"54","AG0087","direct boiling df 1.5%","sorghum grain","Crop Product",54,"% Diet",NA,NA,"Yes",NA,NA,"livestock","% Diet;NA;NA",10,1.1635,"kg",NA,NA,NA,FALSE,"Direct boiling DF 1.5%","no","sorghum grain","High-starch","High-starch",NA,NA
"55","AG0087","direct boiling df 3.5%","groundnut cake","Crop Byproduct",12.01,"% Diet",NA,NA,"Yes",NA,NA,"livestock","% Diet;NA;NA",10,1.1791,"kg",NA,NA,NA,FALSE,"Direct boiling DF 3.5%","no","groundnut cake","Protein","Protein",NA,NA
"56","AG0087","direct boiling df 3.5%","imported concentrate","Other Feed",1.5,"% Diet",NA,NA,"Yes",NA,NA,"livestock","% Diet;NA;NA",10,1.1791,"kg",NA,NA,NA,FALSE,"Direct boiling DF 3.5%","no","imported concentrate","Protein","Protein",NA,NA
"57","AG0087","direct boiling df 3.5%","fish boiled ground","Animal",3.5,"% Diet",NA,NA,"Yes",NA,NA,"livestock","% Diet;NA;NA",10,1.1791,"kg",NA,NA,NA,FALSE,"Direct boiling DF 3.5%","no","fish boiled ground","Protein","Protein",NA,NA
"58","AG0087","direct boiling df 3.5%","sorghum grain","Crop Product",54,"% Diet",NA,NA,"Yes",NA,NA,"livestock","% Diet;NA;NA",10,1.1791,"kg",NA,NA,NA,FALSE,"Direct boiling DF 3.5%","no","sorghum grain","High-starch","High-starch",NA,NA
"59","AG0087","direct boiling df 5%","sorghum grain","Crop Product",54,"% Diet",NA,NA,"Yes",NA,NA,"livestock","% Diet;NA;NA",10,1.17054,"kg",NA,NA,NA,FALSE,"Direct boiling DF 5%","no","sorghum grain","High-starch","High-starch",NA,NA
"60","AG0087","direct boiling df 5%","imported concentrate","Other Feed",3.5,"% Diet",NA,NA,"Yes",NA,NA,"livestock","% Diet;NA;NA",10,1.17054,"kg",NA,NA,NA,FALSE,"Direct boiling DF 5%","no","imported concentrate","Protein","Protein",NA,NA
"61","AG0087","direct boiling df 5%","groundnut cake","Crop Byproduct",12.01,"% Diet",NA,NA,"Yes",NA,NA,"livestock","% Diet;NA;NA",10,1.17054,"kg",NA,NA,NA,FALSE,"Direct boiling DF 5%","no","groundnut cake","Protein","Protein",NA,NA
