"","B.Code","A.Level.Name","GE_MJ_kg","GEI_MJ_d","GE_source","P.Product","Purpose","any_na","total_diet","total_forage_strict","total_forage_broad","n_ingredients","D.Type.first","forage_prop_strict","forage_prop_broad","forage_prop","BW_kg","DE_MJ_kg","ME_MJ_kg","DEI_MJ_d","MEI_MJ_d","For_percent","DMI_kg_d","DMI_source","eq_dairy_niu_DMI_C","eq_beef_DMI_C_HF","eq_beef_Animal_C_HF","eq_beef_DMI_C_LF","eq_beef_Animal_C_INT","eq_beef_Diet_C_INT","eq_sheep_GEI_linear","eq_sheep_MEI_nonlinear","eq_goat_GEI_linear","eq_goat_DEI_linear","eq_goat_MEI_nonlinear","CH4_dairy_niu","CH4_beef_Animal_C_HF","CH4_beef_DMI_C_HF","CH4_beef_Animal_C_INT","CH4_beef_Diet_C_INT","CH4_beef_DMI_C_LF","EME_sheep_linear","CH4_sheep_linear","EME_sheep_nonlinear","CH4_sheep_nonlinear","EME_goat_linear","CH4_goat_linear","EME_goat_DEI","CH4_goat_DEI","EME_goat_nonlinear","CH4_goat_nonlinear","CH4_g_d","CH4_equation_used","beef_forage_category","CH4_kg_yr","X","Out.Code.Joined","ED.Intake.Item","ED.Intake.Item.Raw","ED.Mean.T","ED.Error","Out.Subind","Out.Unit","Out.WG.Start","Out.WG.Unit","is_entire_diet","is_group","T.Animals","T.Name","Country","Source","D.Item.Root.Comp.Proc_Major","ED.Intake.Item.is_entire_diet","n_ing","n_tar","Out.Unit_raw","Product","facet"
"21","BO1011","Diet 3",15.85376176,10.304945144,"diet_level","Sheep","Dairy",FALSE,0.4875,0,0,9,"Crop Byproduct",0,0,0,32.95,NA,NA,NA,NA,0,0.65,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0.712942312056,12.8111826065768,NA,NA,NA,NA,NA,NA,NA,NA,12.8111826065768,"Sheep_GEI_linear",NA,4.67608165140054,127,NA,"T4||Ewes",NA,0.50555,NA,"Milk Yield","kg/individual/day",NA,NA,FALSE,NA,NA,"T4||Ewes","Egypt","camel",NA,FALSE,NA,NA,"g/individual/day","Milk","Sheep – Milk"
"22","BO1018","ASY +ve",16.902433965982,22.8013834201097,"ingredient_weighted","Sheep","Dairy",FALSE,0.005,0,0,1,"Probiotic",0,0,0,43.02,NA,NA,NA,NA,0,1.349,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1.32526778758537,23.8143358056671,NA,NA,NA,NA,NA,NA,NA,NA,23.8143358056671,"Sheep_GEI_linear",NA,8.6922325690685,141,NA,"ASY +ve||Barki Ewes",NA,0.39,NA,"Milk Yield","kg/individual/day",NA,NA,FALSE,NA,NA,"ASY +ve||Barki Ewes","Egypt","camel",NA,FALSE,NA,NA,"g/individual/day","Milk","Sheep – Milk"
"23","BO1018","ASY -ve",16.6511067732953,15.452227085618,"ingredient_weighted","Sheep","Dairy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.928,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0.965159127195282,17.3433805425927,NA,NA,NA,NA,NA,NA,NA,NA,17.3433805425927,"Sheep_GEI_linear",NA,6.33033389804632,142,NA,"ASY -ve||Barki Ewes",NA,0.432,NA,"Milk Yield","kg/individual/day",NA,NA,FALSE,NA,NA,"ASY -ve||Barki Ewes","Egypt","camel",NA,FALSE,NA,NA,"g/individual/day","Milk","Sheep – Milk"
"24","BO1018","BHY -ve",17.831296769492,25.62357345776,"ingredient_weighted","Sheep","Dairy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.437,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1.46355509943024,26.2992830086297,NA,NA,NA,NA,NA,NA,NA,NA,26.2992830086297,"Sheep_GEI_linear",NA,9.59923829814982,143,NA,"BHY -ve||Barki Ewes",NA,0.419,NA,"Milk Yield","kg/individual/day",NA,NA,FALSE,NA,NA,"BHY -ve||Barki Ewes","Egypt","camel",NA,FALSE,NA,NA,"g/individual/day","Milk","Sheep – Milk"
"25","BO1018","BHY+ve",17.8410824605497,25.31649601152,"ingredient_weighted","Sheep","Dairy",FALSE,0.005,0,0,1,"Probiotic",0,0,0,42.91,NA,NA,NA,NA,0,1.419,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1.44850830456448,26.028900351563,NA,NA,NA,NA,NA,NA,NA,NA,26.028900351563,"Sheep_GEI_linear",NA,9.50054862832049,144,NA,"BHY+ve||Barki Ewes",NA,0.449,NA,"Milk Yield","kg/individual/day",NA,NA,FALSE,NA,NA,"BHY+ve||Barki Ewes","Egypt","camel",NA,FALSE,NA,NA,"g/individual/day","Milk","Sheep – Milk"
"26","BO1018","FAY -ve",16.8429699252174,15.4955323312,"ingredient_weighted","Sheep","Dairy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.92,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0.9672810842288,17.3815109475076,NA,NA,NA,NA,NA,NA,NA,NA,17.3815109475076,"Sheep_GEI_linear",NA,6.34425149584029,145,NA,"FAY -ve||Barki Ewes",NA,0.356,NA,"Milk Yield","kg/individual/day",NA,NA,FALSE,NA,NA,"FAY -ve||Barki Ewes","Egypt","camel",NA,FALSE,NA,NA,"g/individual/day","Milk","Sheep – Milk"
"27","BO1028","UMB + UTTS + concentrate",NA,NA,NA,"Cattle","Dairy",FALSE,15.0236,0,0,9,"Supplement",0,0,0,287.46,NA,NA,NA,NA,0,10.58,"diet_level",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,264.714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264.714,"Dairy_Niu_DMI_C",NA,96.62061,176,NA,"T2",NA,10.06,22.17,"Milk Yield","l/individual/day",NA,NA,FALSE,NA,NA,"T2","Ethiopia","camel",NA,FALSE,NA,NA,"l/individual/day","Milk","Cattle – Milk"
"28","BO1028","UTS + concentrate",NA,NA,NA,"Cattle","Dairy",FALSE,10.18,0,0,7,"Crop Product",0,0,0,376.83,NA,NA,NA,NA,0,10.18,"diet_level",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,259.394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259.394,"Dairy_Niu_DMI_C",NA,94.67881,178,NA,"T1",NA,9.61,22.17,"Milk Yield","l/individual/day",NA,NA,FALSE,NA,NA,"T1","Ethiopia","camel",NA,FALSE,NA,NA,"l/individual/day","Milk","Cattle – Milk"
"29","BO1028","UTTS + concentrate",NA,NA,NA,"Cattle","Dairy",FALSE,10.1,0,0,7,"Crop Product",0,0,0,286.2,NA,NA,NA,NA,0,10.1,"diet_level",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,258.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258.33,"Dairy_Niu_DMI_C",NA,94.29045,180,NA,"T3",NA,8.7,22.17,"Milk Yield","l/individual/day",NA,NA,FALSE,NA,NA,"T3","Ethiopia","camel",NA,FALSE,NA,NA,"l/individual/day","Milk","Cattle – Milk"
"30","BO1029","T0 (100 CH)",17.24427232,15.676767966112,"diet_level","Goat","Dairy",FALSE,0.9091,0.45455,0.45455,7,"Crop Byproduct",0.5,0.5,0.5,37,NA,NA,NA,NA,50,0.9091,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78703637327153,14.1426122780149,NA,NA,NA,NA,14.1426122780149,"Goat_GEI_linear",NA,5.16205348147544,181,NA,"T0",NA,0.997,0.846,"Milk Yield","kg/individual/day",NA,NA,FALSE,NA,"6","T0","Egypt","camel",NA,FALSE,NA,NA,"g/individual/day","Milk","Goat – Milk"
