"","X","B.Code","A.Level.Name","D.Item","D.Type","D.Amount","D.Unit.Amount","Percentage_of_Diet","D.Item_raw"
"29",29,"AG0018","UTS","salt","Non-ERA Feed",14.2857142857143,"g",1.36986301369863,"Salt"
"30",30,"AG0018","UTS","molasses","Crop Byproduct",28.5714285714286,"g",2.73972602739726,"Unspecified Molasses"
"31",31,"AG0018","UTS","maize stover urea treated","Crop Byproduct",1000,"g",95.8904109589041,"Maize Stover Urea Treated"
"32",32,"AG0042","60% F SOPM","soybean ground","Crop Product",39.48,"g",12.6336,"Soybean Ground"
"33",33,"AG0042","60% F SOPM","bone ground","Other Feed",4,"g",1.28,"Bone Ground"
"34",34,"AG0042","60% F SOPM","maize offal","Crop Byproduct",45.8,"g",14.656,"Maize Offal"
"35",35,"AG0042","60% F SOPM","salt","Non-ERA Feed",2,"g",0.64,"Salt"
"36",36,"AG0042","60% F SOPM","orange peels dried fermented ground","Byproduct Fodders",68.72,"g",21.9904,"Orange Peels Dried Fermented Ground"
"37",37,"AG0042","60% F SOPM","rice offal","Byproduct Fodders",40,"g",12.8,"Rice Offal"
"38",38,"AG0042","60% UF SOPM","salt","Non-ERA Feed",2,"g",0.671817265703729,"Salt"
"39",39,"AG0042","60% UF SOPM","maize offal","Crop Byproduct",45.8,"g",15.3846153846154,"Maize Offal"
"40",40,"AG0042","60% UF SOPM","rice offal","Byproduct Fodders",40,"g",13.4363453140746,"Rice Offal"
"41",41,"AG0042","60% UF SOPM","soybean ground","Crop Product",39.48,"g",13.2616728249916,"Soybean Ground"
"42",42,"AG0042","60% UF SOPM","bone ground","Other Feed",4,"g",1.34363453140746,"Bone Ground"
"43",43,"AG0042","60% UF SOPM","orange dried","Byproduct Fodders",68.72,"g",23.0836412495801,"Orange Dried"
"44",44,"AG0042","Con","salt","Non-ERA Feed",2,"g",0.640204865556978,"Salt"
"45",45,"AG0042","Con","soybean ground","Crop Product",39.48,"g",12.6376440460948,"Soybean Ground"
"46",46,"AG0042","Con","rice offal","Byproduct Fodders",40,"g",12.8040973111396,"Rice Offal"
"47",47,"AG0042","Con","maize offal","Crop Byproduct",114.52,"g",36.6581306017926,"Maize Offal"
"48",48,"AG0042","Con","bone ground","Other Feed",4,"g",1.28040973111396,"Bone Ground"
"49",49,"AG0050","CPL","cassava peel","Crop Byproduct",24,"g",100,"Cassava Peel"
"50",50,"AG0050","CST","cassava starch","Crop Product",24,"g",100,"Cassava Starch"
"51",51,"AG0051","NG","pennisetum purpureum","Herbaceous Fodders",8.3,"g",100,"Pennisetum purpureum"
"52",52,"AG0051","NGD","desmodium distortum","Herbaceous Fodders",2.46,"g",30,"Desmodium distortum"
"53",53,"AG0051","NGD","pennisetum purpureum","Herbaceous Fodders",5.74,"g",70,"Pennisetum purpureum"
"54",54,"AG0051","PG","brachiaria brizantha","Herbaceous Fodders",9.1,"g",100,"Brachiaria brizantha"
"55",55,"AG0051","PGD","desmodium distortum","Herbaceous Fodders",2.76,"g",30,"Desmodium distortum"
"56",56,"AG0051","PGD","brachiaria brizantha","Herbaceous Fodders",6.44,"g",70,"Brachiaria brizantha"
"57",57,"AG0087","Control","sorghum grain","Crop Product",54,"% Diet",76.0456273764259,"Sorghum Grain"
"58",58,"AG0087","Control","imported concentrate","Other Feed",5,"% Diet",7.0412617941135,"Imported Concentrate"
"59",59,"AG0087","Control","groundnut cake","Crop Byproduct",12.01,"% Diet",16.9131108294606,"Groundnut Cake"
"60",60,"AG0087","Direct boiling DF 1.5%","fish boiled ground","Animal",1.5,"% Diet",2.22189305288105,"Fish Boiled Ground"
"61",61,"AG0087","Direct boiling DF 1.5%","groundnut cake","Crop Byproduct",12.01,"% Diet",17.789957043401,"Groundnut Cake"
"62",62,"AG0087","Direct boiling DF 1.5%","sorghum grain","Crop Product",54,"% Diet",79.988149903718,"Sorghum Grain"
"63",63,"AG0087","Direct boiling DF 3.5%","groundnut cake","Crop Byproduct",12.01,"% Diet",16.9131108294606,"Groundnut Cake"
"64",64,"AG0087","Direct boiling DF 3.5%","imported concentrate","Other Feed",1.5,"% Diet",2.11237853823405,"Imported Concentrate"
"65",65,"AG0087","Direct boiling DF 3.5%","fish boiled ground","Animal",3.5,"% Diet",4.92888325587945,"Fish Boiled Ground"
"66",66,"AG0087","Direct boiling DF 3.5%","sorghum grain","Crop Product",54,"% Diet",76.0456273764259,"Sorghum Grain"
"67",67,"AG0087","Direct boiling DF 5%","sorghum grain","Crop Product",54,"% Diet",72.4734934908066,"Sorghum Grain"
"68",68,"AG0087","Direct boiling DF 5%","imported concentrate","Other Feed",3.5,"% Diet",4.69735605958932,"Imported Concentrate"
"69",69,"AG0087","Direct boiling DF 5%","groundnut cake","Crop Byproduct",12.01,"% Diet",16.1186417930479,"Groundnut Cake"
"70",70,"AG0087","Direct boiling DF 5%","fish boiled ground","Animal",5,"% Diet",6.71050865655617,"Fish Boiled Ground"
"71",71,"AG0087","Indirect boiling DF 1.5%","sorghum grain","Crop Product",54,"% Diet",79.988149903718,"Sorghum Grain"
"72",72,"AG0087","Indirect boiling DF 1.5%","groundnut cake","Crop Byproduct",12.01,"% Diet",17.789957043401,"Groundnut Cake"
"73",73,"AG0087","Indirect boiling DF 1.5%","fish boiled ground","Animal",1.5,"% Diet",2.22189305288105,"Fish Boiled Ground"
"74",74,"AG0087","Indirect boiling DF 3.5%","groundnut cake","Crop Byproduct",12.01,"% Diet",16.9202592279515,"Groundnut Cake"
"75",75,"AG0087","Indirect boiling DF 3.5%","fish boiled ground","Animal",3.5,"% Diet",4.93096646942801,"Fish Boiled Ground"
"76",76,"AG0087","Indirect boiling DF 3.5%","sorghum grain","Crop Product",53.97,"% Diet",76.0355029585799,"Sorghum Grain"
"77",77,"AG0087","Indirect boiling DF 3.5%","imported concentrate","Other Feed",1.5,"% Diet",2.11327134404057,"Imported Concentrate"
"78",78,"AG0087","Indirect boiling DF 5%","fish boiled ground","Animal",5,"% Diet",6.71050865655617,"Fish Boiled Ground"
"79",79,"AG0087","Indirect boiling DF 5%","groundnut cake","Crop Byproduct",12.01,"% Diet",16.1186417930479,"Groundnut Cake"
"80",80,"AG0087","Indirect boiling DF 5%","sorghum grain","Crop Product",54,"% Diet",72.4734934908066,"Sorghum Grain"
"81",81,"AG0087","Indirect boiling DF 5%","imported concentrate","Other Feed",3.5,"% Diet",4.69735605958932,"Imported Concentrate"
"82",82,"AG0087","Roasted DF 1.5%","imported concentrate","Other Feed",3.5,"% Diet",4.92888325587945,"Imported Concentrate"
"83",83,"AG0087","Roasted DF 1.5%","fish ground roasted","Animal",1.5,"% Diet",2.11237853823405,"Fish Ground Roasted"
"84",84,"AG0087","Roasted DF 1.5%","groundnut cake","Crop Byproduct",12.01,"% Diet",16.9131108294606,"Groundnut Cake"
"85",85,"AG0087","Roasted DF 1.5%","sorghum grain","Crop Product",54,"% Diet",76.0456273764259,"Sorghum Grain"
"86",86,"AG0087","Roasted DF 3.5%","sorghum grain","Crop Product",54,"% Diet",76.0456273764259,"Sorghum Grain"
"87",87,"AG0087","Roasted DF 3.5%","groundnut cake","Crop Byproduct",12.01,"% Diet",16.9131108294606,"Groundnut Cake"
"88",88,"AG0087","Roasted DF 3.5%","fish ground roasted","Animal",3.5,"% Diet",4.92888325587945,"Fish Ground Roasted"
"89",89,"AG0087","Roasted DF 3.5%","imported concentrate","Other Feed",1.5,"% Diet",2.11237853823405,"Imported Concentrate"
"90",90,"AG0087","Roasted DF 5%","groundnut cake","Crop Byproduct",12.01,"% Diet",16.9131108294606,"Groundnut Cake"
"91",91,"AG0087","Roasted DF 5%","fish ground roasted","Animal",5,"% Diet",7.0412617941135,"Fish Ground Roasted"
"92",92,"AG0087","Roasted DF 5%","sorghum grain","Crop Product",54,"% Diet",76.0456273764259,"Sorghum Grain"
"93",93,"AG0087","Sun dried DF 1.5%","imported concentrate","Other Feed",3.5,"% Diet",4.92888325587945,"Imported Concentrate"
"94",94,"AG0087","Sun dried DF 1.5%","sorghum grain","Crop Product",54,"% Diet",76.0456273764259,"Sorghum Grain"
"95",95,"AG0087","Sun dried DF 1.5%","fish dried ground","Animal",1.5,"% Diet",2.11237853823405,"Fish Dried Ground"
"96",96,"AG0087","Sun dried DF 1.5%","groundnut cake","Crop Byproduct",12.01,"% Diet",16.9131108294606,"Groundnut Cake"
"97",97,"AG0087","Sun dried DF 3.5%","imported concentrate","Other Feed",1.5,"% Diet",2.11237853823405,"Imported Concentrate"
"98",98,"AG0087","Sun dried DF 3.5%","fish dried ground","Animal",3.5,"% Diet",4.92888325587945,"Fish Dried Ground"
"99",99,"AG0087","Sun dried DF 3.5%","sorghum grain","Crop Product",54,"% Diet",76.0456273764259,"Sorghum Grain"
"100",100,"AG0087","Sun dried DF 3.5%","groundnut cake","Crop Byproduct",12.01,"% Diet",16.9131108294606,"Groundnut Cake"
"101",101,"AG0087","Sun dried DF 5%","fish dried ground","Animal",5,"% Diet",7.0412617941135,"Fish Dried Ground"
"102",102,"AG0087","Sun dried DF 5%","sorghum grain","Crop Product",54,"% Diet",76.0456273764259,"Sorghum Grain"
"103",103,"AG0087","Sun dried DF 5%","groundnut cake","Crop Byproduct",12.01,"% Diet",16.9131108294606,"Groundnut Cake"
"104",104,"AN0007","T1","molasses","Crop Byproduct",6.602,"g",2,"Unspecified Molasses"
"105",105,"AN0007","T1","salt","Non-ERA Feed",3.301,"g",1,"Salt"
"106",106,"AN0007","T1","brewers grain","Crop Byproduct",132.04,"g",40,"Brewers Grain"
"107",107,"AN0007","T1","cassava peel ground","Crop Byproduct",179.9045,"g",54.5,"Cassava Peel Ground"
"108",108,"AN0007","T1","mixture","Non-ERA Feed",1.6505,"g",0.5,"Mixture"
"109",109,"AN0007","T1","bone ground","Other Feed",6.602,"g",2,"Bone Ground"
"110",110,"AN0007","T2","cassava peel ground","Crop Byproduct",179.7519,"g",54.5,"Cassava Peel Ground"
"111",111,"AN0007","T2","salt","Non-ERA Feed",3.2982,"g",1,"Salt"
"112",112,"AN0007","T2","brewers grain","Crop Byproduct",98.946,"g",30,"Brewers Grain"
"113",113,"AN0007","T2","gmelina arborea leaves ground","Agroforestry Fodders",32.982,"g",10,"Gmelina arborea Leaves Ground"
"114",114,"AN0007","T2","mixture","Non-ERA Feed",1.6491,"g",0.5,"Mixture"
"115",115,"AN0007","T2","molasses","Crop Byproduct",6.5964,"g",2,"Unspecified Molasses"
"116",116,"AN0007","T2","bone ground","Other Feed",6.5964,"g",2,"Bone Ground"
"117",117,"AN0007","T3","mixture","Non-ERA Feed",1.73735,"g",0.5,"Mixture"
"118",118,"AN0007","T3","brewers grain","Crop Byproduct",69.494,"g",20,"Brewers Grain"
"119",119,"AN0007","T3","bone ground","Other Feed",6.9494,"g",2,"Bone Ground"
"120",120,"AN0007","T3","molasses","Crop Byproduct",6.9494,"g",2,"Unspecified Molasses"
"121",121,"AN0007","T3","cassava peel ground","Crop Byproduct",189.37115,"g",54.5,"Cassava Peel Ground"
"122",122,"AN0007","T3","salt","Non-ERA Feed",3.4747,"g",1,"Salt"
"123",123,"AN0007","T3","gmelina arborea leaves ground","Agroforestry Fodders",69.494,"g",20,"Gmelina arborea Leaves Ground"
"124",124,"AN0007","T4","cassava peel ground","Crop Byproduct",189.0605,"g",54.5,"Cassava Peel Ground"
"125",125,"AN0007","T4","salt","Non-ERA Feed",3.469,"g",1,"Salt"
"126",126,"AN0007","T4","molasses","Crop Byproduct",6.938,"g",2,"Unspecified Molasses"
"127",127,"AN0007","T4","gmelina arborea leaves ground","Agroforestry Fodders",104.07,"g",30,"Gmelina arborea Leaves Ground"
"128",128,"AN0007","T4","brewers grain","Crop Byproduct",34.69,"g",10,"Brewers Grain"
"129",129,"AN0007","T4","mixture","Non-ERA Feed",1.7345,"g",0.5,"Mixture"
"130",130,"AN0007","T4","bone ground","Other Feed",6.938,"g",2,"Bone Ground"
"131",131,"AN0007","T5","gmelina arborea leaves ground","Agroforestry Fodders",32.08,"g",9.22263109475621,"Gmelina arborea Leaves Ground"
"132",132,"AN0007","T5","salt","Non-ERA Feed",0.802,"g",0.230565777368905,"Salt"
"133",133,"AN0007","T5","mixture","Non-ERA Feed",0.401,"g",0.115282888684453,"Mixture"
"134",134,"AN0007","T5","molasses","Crop Byproduct",1.604,"g",0.461131554737811,"Unspecified Molasses"
"135",135,"AN0007","T5","cassava peel ground","Crop Byproduct",43.709,"g",12.5658348666053,"Cassava Peel Ground"
"136",136,"AN0007","T5","bone ground","Other Feed",1.604,"g",0.461131554737811,"Bone Ground"
"137",137,"AN0020","Control T1","fish ground","Animal",50.3360714285714,"g",100,"Fish Ground"
"138",138,"AN0020","T2","wheat offal ground","Crop Byproduct",3.73912685714286,"g",7.72,"Wheat Offal Ground"
"139",139,"AN0020","T2","toxynil ground","Non-ERA Feed",0.00968685714285714,"g",0.02,"Toxynil Ground"
"140",140,"AN0020","T2","mixture","Non-ERA Feed",0.121085714285714,"g",0.25,"Mixture"
"141",141,"AN0020","T2","bone ground","Other Feed",1.45302857142857,"g",3,"Bone Ground"
"142",142,"AN0020","T2","enzyme","Non-ERA Feed",0.0968685714285714,"g",0.2,"Enzyme"
"143",143,"AN0020","T2","african palm larvae dried ground","Animal",7.26514285714285,"g",15,"African Palm Larvae Dried Ground"
"144",144,"AN0020","T2","methionine","Non-ERA Feed",0.121085714285714,"g",0.25,"Methionine"
"145",145,"AN0020","T2","maize ground","Crop Product",21.7954285714286,"g",45,"Maize Ground"
"146",146,"AN0020","T2","lysine","Non-ERA Feed",0.0968685714285714,"g",0.2,"Lysine"
"147",147,"AN0020","T2","palm kernel cake ground","Crop Byproduct",13.5906605714286,"g",28.06,"Palm Kernel Cake Ground"
"148",148,"AN0020","T2","salt","Non-ERA Feed",0.145302857142857,"g",0.3,"Salt"
"149",149,"AN0020","T3","lysine","Non-ERA Feed",0.0980592857142858,"g",0.2,"Lysine"
"150",150,"AN0020","T3","maize ground","Crop Product",22.0633392857143,"g",45,"Maize Ground"
"151",151,"AN0020","T3","winged termite dried ground","Animal",7.35444642857143,"g",15,"Winged Termite Dried Ground"
"152",152,"AN0020","T3","wheat offal ground","Crop Byproduct",3.78508842857143,"g",7.72,"Wheat Offal Ground"
"153",153,"AN0020","T3","enzyme","Non-ERA Feed",0.0980592857142858,"g",0.2,"Enzyme"
"154",154,"AN0020","T3","bone ground","Other Feed",1.47088928571429,"g",3,"Bone Ground"
"155",155,"AN0020","T3","methionine","Non-ERA Feed",0.122574107142857,"g",0.25,"Methionine"
"156",156,"AN0020","T3","salt","Non-ERA Feed",0.147088928571429,"g",0.3,"Salt"
"157",157,"AN0020","T3","mixture","Non-ERA Feed",0.122574107142857,"g",0.25,"Mixture"
"158",158,"AN0020","T3","toxynil ground","Non-ERA Feed",0.00980592857142858,"g",0.02,"Toxynil Ground"
"159",159,"AN0020","T3","palm kernel cake ground","Crop Byproduct",13.7577177857143,"g",28.06,"Palm Kernel Cake Ground"
"160",160,"AN0021","U0","rice husk","Crop Byproduct",332.67,"g",39,"Rice Husk"
"161",161,"AN0021","U10","rice husk dried urea treated","Crop Byproduct",326.2604,"g",38,"Rice Husk Dried Urea Treated"
"162",162,"AN0021","U10","urea","Non-ERA Feed",8.5858,"g",1,"Urea"
"163",163,"AN0021","U15","rice husk dried urea treated","Crop Byproduct",351.4556,"g",37,"Rice Husk Dried Urea Treated"
"164",164,"AN0021","U15","urea","Non-ERA Feed",14.2482,"g",1.5,"Urea"
"165",165,"AN0021","U20","rice husk dried urea treated","Crop Byproduct",347.0748,"g",37,"Rice Husk Dried Urea Treated"
"166",166,"AN0021","U20","urea","Non-ERA Feed",18.7608,"g",2,"Urea"
"167",167,"AN0027","Control PDS","maize","Crop Product",25,"% Diet",100,"Maize"
"168",168,"AN0027","R1","maize","Crop Product",12.5,"% Diet",33.3333333333333,"Maize"
"169",169,"AN0027","R1","date seed ground","Crop Byproduct",25,"% Diet",66.6666666666667,"Date Seed Ground"
"170",170,"AN0029","T2 1.5%","fish processing waste","Animal",40,"%",40,"Fish Processing Waste"
"171",171,"AN0029","T2 1.5%","cassava offal","Crop Byproduct",60,"%",60,"Cassava Bran"
"172",172,"AN0029","T3 2.5%","cassava offal","Crop Byproduct",60,"%",60,"Cassava Bran"
"173",173,"AN0029","T3 2.5%","fish processing waste","Animal",40,"%",40,"Fish Processing Waste"
"174",174,"AN0057","150 PPL","pigeon pea leaves dried","Crop Byproduct",140,"g",27.2904483430799,"Pigeon Pea Leaves Dried"
"175",175,"AN0057","300 PPL","pigeon pea leaves dried","Crop Byproduct",269,"g",42.0970266040689,"Pigeon Pea Leaves Dried"
"176",176,"AN0057","450 PPL","pigeon pea leaves dried","Crop Byproduct",395,"g",51.7693315858453,"Pigeon Pea Leaves Dried"
"177",177,"AN0058","PJP 0","maize ground","Crop Product",8,"% Diet",100,"Maize Ground"
"178",178,"AN0058","PJP 10","maize ground","Crop Product",7.2,"% Diet",90,"Maize Ground"
"179",179,"AN0058","PJP 10","prosopis juliflora pods ground","Other Feed",0.8,"% Diet",10,"Prosopis juliflora Pods Ground"
"180",180,"AN0058","PJP 20","prosopis juliflora pods ground","Other Feed",1.6,"% Diet",20,"Prosopis juliflora Pods Ground"
"181",181,"AN0058","PJP 20","maize ground","Crop Product",6.4,"% Diet",80,"Maize Ground"
"182",182,"AN0058","PJP 30","maize ground","Crop Product",5.6,"% Diet",70,"Maize Ground"
"183",183,"AN0058","PJP 30","prosopis juliflora pods ground","Other Feed",2.4,"% Diet",30,"Prosopis juliflora Pods Ground"
"184",184,"B01063","Control Diet","soybean ground","Crop Product",0.942052500000001,"g",19.67,"Soybean Ground"
"185",185,"B01063","Control Diet","maize ground","Crop Product",3.345795,"g",69.86,"Maize Ground"
"186",186,"B01063","Control Diet","soybean full fat ground","Crop Product",0.242816785714286,"g",5.07,"Soybean Full Fat Ground"
"187",187,"B01063","PEG0","maize ground","Crop Product",2.92180178571429,"g",62.69,"Maize Ground"
"188",188,"B01063","PEG0","moringa oleifera leaves ground","Forage Plants",0.466071428571429,"g",10,"Moringa oleifera Leaves Ground"
"189",189,"B01063","PEG0","soybean full fat ground","Crop Product",0.692582142857143,"g",14.86,"Soybean Full Fat Ground"
"190",190,"B01063","PEG0","soybean ground","Crop Product",0.328580357142857,"g",7.05,"Soybean Ground"
"191",191,"B01063","PEG100","soybean full fat ground","Crop Product",0.681277928571429,"g",14.86,"Soybean Full Fat Ground"
"192",192,"B01063","PEG100","maize ground","Crop Product",2.87411260714286,"g",62.69,"Maize Ground"
"193",193,"B01063","PEG100","soybean ground","Crop Product",0.323217321428572,"g",7.05,"Soybean Ground"
"194",194,"B01063","PEG100","moringa oleifera leaves ground","Forage Plants",0.458464285714286,"g",10,"Moringa oleifera Leaves Ground"
"195",195,"B01063","PEG100","polyethylene glycol","Other Ingredients",0.458464285714286,"g",10,"Polyethylene glycol"
"196",196,"B01063","PEG25","polyethylene glycol","Other Ingredients",0.123125,"g",2.5,"Polyethylene glycol"
"197",197,"B01063","PEG25","soybean full fat ground","Crop Product",0.731855,"g",14.86,"Soybean Full Fat Ground"
"198",198,"B01063","PEG25","soybean ground","Crop Product",0.3472125,"g",7.05,"Soybean Ground"
"199",199,"B01063","PEG25","moringa oleifera leaves ground","Forage Plants",0.4925,"g",10,"Moringa oleifera Leaves Ground"
"200",200,"B01063","PEG25","maize ground","Crop Product",3.0874825,"g",62.69,"Maize Ground"
"201",201,"B01063","PEG50","polyethylene glycol","Other Ingredients",0.245535714285715,"g",5,"Polyethylene glycol"
"202",202,"B01063","PEG50","moringa oleifera leaves ground","Forage Plants",0.491071428571429,"g",10,"Moringa oleifera Leaves Ground"
"203",203,"B01063","PEG50","maize ground","Crop Product",3.07852678571429,"g",62.69,"Maize Ground"
"204",204,"B01063","PEG50","soybean ground","Crop Product",0.346205357142857,"g",7.05,"Soybean Ground"
"205",205,"B01063","PEG50","soybean full fat ground","Crop Product",0.729732142857143,"g",14.86,"Soybean Full Fat Ground"
"206",206,"B01063","PEG75","moringa oleifera leaves ground","Forage Plants",0.475357142857143,"g",10,"Moringa oleifera Leaves Ground"
"207",207,"B01063","PEG75","maize ground","Crop Product",2.98001392857143,"g",62.69,"Maize Ground"
"208",208,"B01063","PEG75","soybean ground","Crop Product",0.335126785714286,"g",7.05,"Soybean Ground"
"209",209,"B01063","PEG75","soybean full fat ground","Crop Product",0.706380714285714,"g",14.86,"Soybean Full Fat Ground"
"210",210,"B01063","PEG75","polyethylene glycol","Other Ingredients",0.356517857142857,"g",7.5,"Polyethylene glycol"
"211",211,"BO1001","Diet 2","sesbania sesban dried","Forage Plants",100,"g",12.636952977898,"Sesbania sesban Dried"
"212",212,"BO1001","Diet 3","sesbania sesban dried","Forage Plants",200,"g",23.7936613686114,"Sesbania sesban Dried"
"213",213,"BO1001","Diet 4","sesbania sesban dried","Forage Plants",300,"g",32.2092311656521,"Sesbania sesban Dried"
"214",214,"BO1001","Diet 5","sesbania sesban dried","Forage Plants",400,"g",39.3809317528453,"Sesbania sesban Dried"
"215",215,"BO1002","Control","concentrate",NA,708.6,"g",60,"Concentrate"
"216",216,"BO1003","C25","cynodon dried","Forage Plants",245.44984,"g",54.7,"Cynodon Dried"
"217",217,"BO1003","C25","bracharia dried","Forage Plants",37.24376,"g",8.3,"Bracharia Dried"
"218",218,"BO1003","C25","urea","Supplement",6.7308,"g",1.5,"Urea"
"219",219,"BO1003","C25","opuntia ficus indica cladode crushed","Forage Plants",114.4236,"g",25.5,"Opuntia ficus indica Cladode Crushed"
"220",220,"BO1003","C50","bracharia dried","Forage Plants",23.92278,"g",4.9,"Bracharia Dried"
"221",221,"BO1003","C50","cynodon dried","Forage Plants",156.71862,"g",32.1,"Cynodon Dried"
"222",222,"BO1003","C50","opuntia ficus indica cladode crushed","Forage Plants",248.9922,"g",51,"Opuntia ficus indica Cladode Crushed"
"223",223,"BO1003","C50","urea","Supplement",9.7644,"g",2,"Urea"
"224",224,"BO1003","C75","urea","Supplement",11.3078,"g",2.5,"Urea"
"225",225,"BO1003","C75","bracharia dried","Forage Plants",6.78468,"g",1.5,"Bracharia Dried"
"226",226,"BO1003","C75","cynodon dried","Forage Plants",42.96964,"g",9.5,"Cynodon Dried"
"227",227,"BO1003","C75","opuntia ficus indica cladode crushed","Forage Plants",346.01868,"g",76.5,"Opuntia ficus indica Cladode Crushed"
"228",228,"BO1004","Treatment 2","noug seed cake","Crop Byproduct",706.9,"g",98.0579830767097,"Noug Seed Cake"
"229",229,"BO1004","Treatment 2","natural pasture dried","Forage Plants",390.2,"g",54.1267859619919,"Natural Pasture Dried"
"230",230,"BO1004","Treatment 2","sesbania sesban leaves dried ground","Forage Plants",316,"g",43.8340962685532,"Sesbania sesban Leaves Dried Ground"
"231",231,"BO1004","Treatment 3","noug seed cake","Crop Byproduct",624,"g",101.612115290669,"Noug Seed Cake"
"232",232,"BO1004","Treatment 3","natural pasture dried","Forage Plants",240.9,"g",39.228138739619,"Natural Pasture Dried"
"233",233,"BO1005","OSCM","maize ground","Crop Product",233.55,"g",27,"Maize Ground"
"234",234,"BO1005","OSCM","sunflower seed cake ground","Crop Byproduct",95.15,"g",11,"Sunflower Seed Cake Ground"
"235",235,"BO1005","OSCM","eragrostis curvula","Forage Plants",259.5,"g",30,"Eragrostis curvula"
"236",236,"BO1005","OSCM","cotton seed cake ground","Crop Byproduct",95.15,"g",11,"Cotton Seed Cake Ground"
"237",237,"BO1005","OSCM","soybean full fat ground","Crop Product",34.6,"g",4,"Soybean Full Fat Ground"
"238",238,"BO1005","TMRL","maize ground","Crop Product",194.7,"g",22,"Maize Ground"
"239",239,"BO1005","TMRL","cotton seed cake ground","Crop Byproduct",79.65,"g",9,"Cotton Seed Cake Ground"
"240",240,"BO1005","TMRL","leucaena leucocephala dried ground","Forage Plants",221.25,"g",25,"Leucaena leucocephala Dried Ground"
"241",241,"BO1005","TMRL","eragrostis curvula","Forage Plants",159.3,"g",18,"Eragrostis curvula"
"242",242,"BO1005","TMRL","sunflower seed cake ground","Crop Byproduct",79.65,"g",9,"Sunflower Seed Cake Ground"
"243",243,"BO1006","Ration 1","sugarcane molasses","Crop Byproduct",17.447058,"g",1.509,"Sugarcane Molasses"
"244",244,"BO1006","Ration 1","maize stover ensiled","Crop Byproduct",327.158352,"g",28.296,"Maize Stover Ensiled"
"245",245,"BO1006","Ration 1","urea","Supplement",2.289276,"g",0.198,"Urea"
"246",246,"BO1006","Ration 2","urea","Supplement",1.317492,"g",0.099,"Urea"
