"","scope","B.Code","D.Item","CP","NDF","Ash","EE","GE","D.Type","M2_Category","M3_Category","M4_Category","M5_Category","M6_Category","M7_Category","Diet_Category_method","Diet_Category_prop_top","used_patch","used_nearest","M7_Category_full"
"48","diet","AN0058","PJP 20",234.3,NA,82,78.1,NA,NA,NA,NA,"High-fat",NA,"High-fat","High-fat","M7_numeric",NA,FALSE,FALSE,"High-fat"
"49","diet","AN0058","PJP 30",229.7,NA,82.5,70.6,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"50","diet","EO0027","CBS",281,NA,154,NA,14.7,NA,NA,NA,NA,NA,NA,"Good forage","by_category_dominance",0.437810945273632,TRUE,FALSE,"Good forage"
"51","diet","EO0027","COC",281,NA,129,NA,13.9,NA,NA,NA,NA,NA,NA,"High-fat","by_category_dominance",0.477611940298508,TRUE,FALSE,"High-fat"
"52","diet","EO0027","Reference diet",284,NA,99.9,NA,15.1,NA,NA,NA,NA,NA,NA,"Protein","nearest_window_diet",NA,FALSE,TRUE,"Protein"
"53","diet","EO0046","0% CFL",107.3,406.6,132.5,105.1,NA,NA,NA,"High-fat","High-fat","High-fat","High-fat","High-fat","M7_numeric",NA,FALSE,FALSE,"High-fat"
"54","diet","EO0046","10% CFL",111.7,447.9,106.3,138.3,NA,NA,NA,"High-fat","High-fat","High-fat","High-fat","High-fat","M7_numeric",NA,FALSE,FALSE,"High-fat"
"55","diet","EO0046","20% CFL",135.8,508,107.3,105,NA,NA,NA,"High-fat","High-fat","High-fat","High-fat","High-fat","M7_numeric",NA,FALSE,FALSE,"High-fat"
"56","diet","EO0046","30% CFL",139.7,561.4,112.5,102.5,NA,NA,NA,"High-fat","High-fat","High-fat","High-fat","High-fat","M7_numeric",NA,FALSE,FALSE,"High-fat"
"57","diet","EO0047","PP0-0%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
"58","diet","EO0047","PP10-10%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
"59","diet","EO0047","PP20-20%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
"60","diet","EO0047","PP30-30%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
"61","diet","EO0057","T1",185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","by_category_dominance",0.436781609195402,TRUE,FALSE,"Good forage"
"62","diet","EO0057","T2",185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","by_category_dominance",0.436781609195402,TRUE,FALSE,"Good forage"
"63","diet","EO0078","0% PJP",169,NA,67,49.3,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"64","diet","EO0078","10%PJP",155.1,NA,NA,45.7,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"65","diet","EO0078","20%PJP",150.9,NA,57.6,42.8,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"66","diet","EO0078","30%PJP",160.1,NA,51.2,40.4,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"67","diet","EO0078","40%PJP",157.2,NA,49,39,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"68","diet","EO0086","0JKM1",220,NA,182,75,NA,NA,NA,NA,"High-fat",NA,"High-fat","High-fat","M7_numeric",NA,FALSE,FALSE,"High-fat"
"69","diet","EO0086","0JKM2",203,NA,112,123,NA,NA,NA,"High-fat","High-fat","High-fat","High-fat","High-fat","M7_numeric",NA,FALSE,FALSE,"High-fat"
"70","diet","EO0086","4JKM1",205,NA,154,86,NA,NA,NA,"High-fat","High-fat","High-fat","High-fat","High-fat","M7_numeric",NA,FALSE,FALSE,"High-fat"
"71","diet","EO0086","8JKM1",207,NA,154,74,NA,NA,NA,NA,"High-fat",NA,"High-fat","High-fat","M7_numeric",NA,FALSE,FALSE,"High-fat"
"72","diet","EO0086","8JKM2",207,NA,113,104,NA,NA,NA,"High-fat","High-fat","High-fat","High-fat","High-fat","M7_numeric",NA,FALSE,FALSE,"High-fat"
"73","diet","HK0006","D1 No F.polita",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High-starch","nearest_window_diet",NA,FALSE,TRUE,"High-starch"
"74","diet","HK0006","D2 30 F.polita",114.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High-starch","nearest_window_diet",NA,FALSE,TRUE,"High-starch"
"75","diet","HK0006","D3  60 F.polita",149.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"76","diet","HK0006","D4 90 F.polita",184.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"77","diet","HK0007","Con",169.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"78","diet","HK0007","HWM1",168.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"79","diet","HK0007","HWM2",166.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"80","diet","HK0007","HWM3",162.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"81","diet","HK0008","0% Leucaena Goat",108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High-starch","nearest_window_diet",NA,FALSE,TRUE,"High-starch"
"82","diet","HK0008","0% Leucaena Sheep",108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High-starch","nearest_window_diet",NA,FALSE,TRUE,"High-starch"
"83","diet","HK0008","20% Leucaena Goat",139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"84","diet","HK0008","20% Leucaena Sheep",139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"85","diet","HK0008","40% Leucaena Goat",181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"86","diet","HK0008","40% Leucaena Sheep",181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"87","diet","HK0008","60% Leucaena Goat",227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"88","diet","HK0008","60% Leucaena Sheep",227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"89","diet","HK0008","80% Leucaena Goat",263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Protein","nearest_window_diet",NA,FALSE,TRUE,"Protein"
"90","diet","HK0008","80% Leucaena Sheep",263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Protein","nearest_window_diet",NA,FALSE,TRUE,"Protein"
"91","diet","HK0011","CW",54.1,NA,66.8,7.8,16.81968,NA,NA,NA,NA,NA,NA,"Poor forage","nearest_window_diet",NA,FALSE,TRUE,"Poor forage"
"92","diet","HK0011","CW:DSBG",181.2,NA,61.8,39.4,18.28408,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"93","diet","HK0011","DSBG",332,NA,53.9,62.2,19.874,NA,NA,NA,NA,NA,NA,"Protein","nearest_window_diet",NA,FALSE,TRUE,"Protein"
"94","diet","HK0014","D1 No Macuna Bundle 1",371,NA,NA,NA,12.3168592,NA,NA,NA,NA,NA,NA,"Protein","nearest_window_diet",NA,FALSE,TRUE,"Protein"
"95","diet","HK0014","D2 5% Treated Macuna Bundle 1",369.1,NA,NA,NA,12.1285792,NA,NA,NA,NA,NA,NA,"Protein","nearest_window_diet",NA,FALSE,TRUE,"Protein"
"96","diet","HK0014","D2 5% Treated Macuna Bundle 2",369.1,NA,NA,NA,12.1285792,NA,NA,NA,NA,NA,NA,"Protein","nearest_window_diet",NA,FALSE,TRUE,"Protein"
"97","diet","HK0014","D3 5% Raw Macuna Bundle 1",365.3,NA,NA,NA,11.9235632,NA,NA,NA,NA,NA,NA,"Protein","nearest_window_diet",NA,FALSE,TRUE,"Protein"
"98","diet","HK0014","D3 5% Raw Macuna Bundle 2",365.3,NA,NA,NA,11.9235632,NA,NA,NA,NA,NA,NA,"Protein","nearest_window_diet",NA,FALSE,TRUE,"Protein"
"99","diet","HK0014","D4 10% Treated Macuna Bundle 1",366.8,NA,NA,NA,11.9114296,NA,NA,NA,NA,NA,NA,"Protein","nearest_window_diet",NA,FALSE,TRUE,"Protein"
"100","diet","HK0014","D5 15% Treated Macuna Bundle 1",369,NA,NA,NA,11.4972136,NA,NA,NA,NA,NA,NA,"Protein","nearest_window_diet",NA,FALSE,TRUE,"Protein"
"101","diet","HK0014","Maize",80,155,43,45,18.8,NA,"High-starch","High-starch","High-starch","High-starch","High-starch","High-starch","M7_numeric",NA,FALSE,FALSE,"High-starch"
"102","diet","HK0017","0% Animal  Protein Mixture",383.6,NA,52,55.3,19.4543448,NA,NA,NA,NA,NA,NA,"Mineral/Vitamin","M7_numeric",NA,FALSE,FALSE,"Mineral/Vitamin"
"103","diet","HK0017","100% Animal Protein Mixture",360,NA,56,69,19.0436852,NA,NA,NA,NA,NA,NA,"Mineral/Vitamin","M7_numeric",NA,FALSE,FALSE,"Mineral/Vitamin"
"104","diet","HK0017","25% Animal Protein Mixture",378.4,NA,54,60.8,19.4940928,NA,NA,NA,NA,NA,NA,"Mineral/Vitamin","M7_numeric",NA,FALSE,FALSE,"Mineral/Vitamin"
"105","diet","HK0017","50% Animal Protein Mixture",373.1,NA,61,66.8,19.47225232,NA,NA,NA,NA,NA,NA,"Mineral/Vitamin","M7_numeric",NA,FALSE,FALSE,"Mineral/Vitamin"
"106","diet","HK0017","75% Animal Protein Mixture",367.9,NA,54,67.9,19.02887384,NA,NA,NA,NA,NA,NA,"Mineral/Vitamin","M7_numeric",NA,FALSE,FALSE,"Mineral/Vitamin"
"107","diet","HK0017","Maize",80,155,39,45,17.7566868,NA,"High-starch","High-starch","High-starch","High-starch","High-starch","High-starch","M7_numeric",NA,FALSE,FALSE,"High-starch"
"108","diet","HK0026","Diet 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
"109","diet","HK0026","Diet 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
"110","diet","HK0026","Diet 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
"111","diet","HK0026","Diet 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
"112","diet","HK0026","Diet 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
"113","diet","HK0028","MSP Con",176,NA,109,NA,17.37841136,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"114","diet","HK0028","MSP1",174,NA,102,NA,17.00327392,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"115","diet","HK0028","MSP2",165.8,NA,122,NA,16.4648768,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"116","diet","HK0029","Diet A (No Cassava Peals)",156,NA,103,36,0.014644,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"117","diet","HK0029","Diet B 50",159,NA,129,33,0.014644,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"118","diet","HK0029","Diet C 100",156,NA,142,28,0.0133888,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"119","diet","HK0033","0% Brewer's Grain",108,NA,52.5,40.5,NA,NA,NA,NA,NA,NA,NA,"Good forage","by_category_dominance",0.8,TRUE,FALSE,"Good forage"
"120","diet","HK0033","15% Brewer's Grain",172,NA,50.6,43.4,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"121","diet","HK0033","30% Brewer's Grain",151.5,NA,47.9,46.4,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"122","diet","HK0033","45% Brewer's Grain",173.3,NA,45.6,49.3,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"123","diet","HK0033","60% Brewer's Grain",195,NA,43.2,52.2,NA,NA,NA,NA,NA,NA,NA,"Poor forage","by_category_dominance",0.681811212980038,TRUE,FALSE,"Poor forage"
"124","diet","HK0037","Diet 1 Bundle 1",237,NA,30.5,48,12.26,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"125","diet","HK0037","Diet 2 Bundle 1",225,NA,39,69.2,12.2,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"126","diet","HK0037","Diet 3 Bundle 1",238.5,NA,42,83.6,12.21,NA,NA,"High-fat","High-fat","High-fat","High-fat","High-fat","M7_numeric",NA,FALSE,FALSE,"High-fat"
"127","diet","HK0037","Diet 4 Bundle 1",236.5,NA,46.1,96.8,12.05,NA,NA,"High-fat","High-fat","High-fat","High-fat","High-fat","M7_numeric",NA,FALSE,FALSE,"High-fat"
"128","diet","HK0037","Diet 4 Bundle 2",236.5,NA,46.1,96.8,12.05,NA,NA,"High-fat","High-fat","High-fat","High-fat","High-fat","M7_numeric",NA,FALSE,FALSE,"High-fat"
"129","diet","HK0037","Diet 5 Bundle 1",239,NA,40.7,88.5,12.05,NA,NA,"High-fat","High-fat","High-fat","High-fat","High-fat","M7_numeric",NA,FALSE,FALSE,"High-fat"
"130","diet","HK0037","Diet 5 Bundle 2",239,NA,40.7,88.5,12.05,NA,NA,"High-fat","High-fat","High-fat","High-fat","High-fat","M7_numeric",NA,FALSE,FALSE,"High-fat"
"131","diet","HK0044.1","Diet with 0% UCSM 1",210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"132","diet","HK0044.1","Diet with 10% UCSM 1",202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"133","diet","HK0044.1","Diet with 20% UCSM 1",206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"134","diet","HK0044.1","Diet with 30% UCSM 1",204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"135","diet","HK0044.1","Maize",80,155,43,45,18.8,NA,"High-starch","High-starch","High-starch","High-starch","High-starch","High-starch","M7_numeric",NA,FALSE,FALSE,"High-starch"
"136","diet","HK0044.2","Diet with 0% UCSM 2",170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"137","diet","HK0044.2","Diet with 20% UCSM 2",170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"138","diet","HK0044.2","Diet with 30% UCSM 2",170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"139","diet","HK0044.2","Diet with 41.1% UCSM 2",170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"140","diet","HK0044.2","Maize",80,155,43,45,18.8,NA,"High-starch","High-starch","High-starch","High-starch","High-starch","High-starch","M7_numeric",NA,FALSE,FALSE,"High-starch"
"141","diet","HK0066.1","0 MSK",178,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"142","diet","HK0066.1","100 MSK",176,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"143","diet","HK0066.1","150 MSK",174,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"144","diet","HK0066.1","200 MSK",172,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"145","diet","HK0066.1","250 MSK",171,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"146","diet","HK0066.1","50 MSK",177,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"147","diet","HK0066.2","0 MSK",237.5,NA,NA,38.2,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"148","diet","HK0066.2","100 MSK",236,NA,NA,45.8,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"149","diet","HK0066.2","150 MSK",232.1,NA,NA,52.4,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"150","diet","HK0066.2","200 MSK",236.2,NA,NA,54.5,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"151","diet","HK0066.2","50 MSK",235,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"152","diet","HK0067","0% CBC",148.6,NA,790,150,15,NA,"Mineral/Vitamin","High-fat","High-fat","High-fat","High-fat","High-fat","M7_numeric",NA,FALSE,FALSE,"High-fat"
