"","B.Code","pair_type","A","B","Practice","Subpractice","Magnitude_pct","POS_sum","NEG_sum","added_n","removed_n","Types_added","Types_decreased","Substitution_pairs"
"3705","NN0118","trt_vs_ctrl","0% Duckweed","30% Duckweed","Addition","Unclassified",100.7,38.2,62.5,1,0,"Unclassified","",""
"3706","NN0118","trt_vs_ctrl","0% Duckweed","5% Duckweed","Addition","Unclassified",32.12,6.02,26.1,1,0,"Unclassified","",""
"3707","NN0118","trt_vs_trt","10% Duckweed","20% Duckweed","Substitution","High-starch → Unclassified",27,13.5,13.5,0,0,"","","High-starch → Unclassified"
"3708","NN0118","trt_vs_trt","10% Duckweed","30% Duckweed","Substitution","High-starch → Unclassified",50,25.4,24.6,0,0,"","","High-starch → Unclassified"
"3709","NN0118","trt_vs_trt","10% Duckweed","5% Duckweed","Addition","",18.58,11.8,6.78,0,0,"","",""
"3710","NN0118","trt_vs_trt","100% Duckweed","20% Duckweed","Addition","Protein",45.5,22.9,22.6,1,0,"Protein","",""
"3711","NN0118","trt_vs_trt","100% Duckweed","30% Duckweed","Addition","Protein",40.7,20.9,19.8,1,0,"Protein","",""
"3712","NN0118","trt_vs_trt","100% Duckweed","5% Duckweed","Addition","Protein",91.08,48.2,42.88,1,0,"Protein","",""
"3713","NN0118","trt_vs_trt","20% Duckweed","30% Duckweed","Substitution","High-starch → Unclassified",23,11.9,11.1,0,0,"","","High-starch → Unclassified"
"3714","NN0118","trt_vs_trt","20% Duckweed","5% Duckweed","No change","",45.58,25.3,20.28,0,0,"","",""
"3715","NN0118","trt_vs_trt","30% Duckweed","5% Duckweed","No change","",68.58,36.4,32.18,0,0,"","",""
"3716","NN0118",NA,"100% Duckweed","10% Duckweed","Addition","Protein",72.5,36.4,36.1,0,1,"Protein","",""
"3717","NN0119.1","trt_vs_ctrl","1","2","Addition","Good forage, High-fat",23,11.5,11.5,2,0,"Good forage, High-fat","",""
"3718","NN0119.1","trt_vs_ctrl","1","3","Addition","Good forage, High-fat",37,18.5,18.5,2,0,"Good forage, High-fat","",""
"3719","NN0119.1","trt_vs_ctrl","1","4","No change","",0,0,0,0,0,"","",""
"3720","NN0119.1","trt_vs_trt","2","3","Substitution","Good forage → Good forage; Protein → Poor forage",14,7,7,0,0,"","","Good forage → Good forage; Protein → Poor forage"
"3721","NN0119.1",NA,"4","2","Addition","Good forage, High-fat",23,11.5,11.5,0,2,"Good forage, High-fat","",""
"3722","NN0119.1",NA,"4","3","Addition","Good forage, High-fat",37,18.5,18.5,0,2,"Good forage, High-fat","",""
"3723","NN0137.1","trt_vs_trt","DGCM 0.05","DGSM 0.1","No change","",0.05,0.05,0,0,0,"","",""
"3724","NN0137.1","trt_vs_trt","DGCM 0.05","DGSM 0.15","No change","",0.1,0.1,0,0,0,"","",""
