"","B.Code","D.Item","P.Product","Herd.Stage","GE_daily","CH4_kg_year","Total_Amount","D.Unit.Amount","CH4_flag","Ym","source","final_intake_kg_day","ED.Mean.T","T.Name","T.Control"
"62","BO1011","Diet 3","Sheep","Gestating Female",1.47251231111111,0.647085149473893,0.65,"kg","amount_from_total_amounts",0.067,"GE_all",NA,NA,"T4","no"
"63","BO1011","Diet 3","Sheep","Gestating Female",1.47251231111111,0.647085149473893,0.65,"kg","amount_from_total_amounts",0.067,"GE_all",NA,NA,"T4","no"
"64","BO1011","Diet 3","Sheep","Gestating Female",1.47251231111111,0.647085149473893,0.65,"kg","amount_from_total_amounts",0.067,"GE_all",NA,NA,"T4","no"
"65","BO1011","Diet 3","Sheep","Gestating Female",1.47251231111111,0.647085149473893,0.65,"kg","amount_from_total_amounts",0.067,"GE_all",NA,NA,"T4","no"
"66","BO1015","42% CFM +52% CS +6% SS (G3)","Goat","Lactating Female",31.4372243706163,11.3405620708018,1.623,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.623,"T3","no"
"67","BO1015","42% CFM +52% CS +6% SS (G3)","Goat","Lactating Female",31.4372243706163,11.3405620708018,1.623,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.623,"T3","no"
"68","BO1015","42% CFM +52% CS +6% SS (G3)","Goat","Lactating Female",31.4372243706163,11.3405620708018,1.623,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.623,"T3","no"
"69","BO1015","42% CFM +52% CS +6% SS (G3)","Goat","Lactating Female",31.4372243706163,11.3405620708018,1.623,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.623,"T3","no"
"70","BO1015","42% CFM +52% CS +6% SS (G3)","Goat","Lactating Female",31.4372243706163,11.3405620708018,1.623,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.623,"T3","no"
"71","BO1015","42% CFM +52% CS +6% SS (G3)","Goat","Lactating Female",31.4372243706163,11.3405620708018,1.623,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.623,"T3","no"
"72","BO1015","42% CFM +52% CS +6% SS (G3)","Goat","Lactating Female",31.4372243706163,11.3405620708018,1.623,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.623,"T3","no"
