"","B.Code","D.Item","DC.Variable","DC.Value","is_entire_diet","is_group"
"138","AG0087","Sun dried DF 1.5%","Ash",NA,TRUE,FALSE
"139","AG0087","Sun dried DF 1.5%","EE",NA,TRUE,FALSE
"140","AG0087","Sun dried DF 1.5%","GE",NA,TRUE,FALSE
"141","AG0087","Sun dried DF 3.5%","CP",172,TRUE,FALSE
"142","AG0087","Sun dried DF 3.5%","NDF",NA,TRUE,FALSE
"143","AG0087","Sun dried DF 3.5%","Ash",NA,TRUE,FALSE
"144","AG0087","Sun dried DF 3.5%","EE",NA,TRUE,FALSE
"145","AG0087","Sun dried DF 3.5%","GE",NA,TRUE,FALSE
"146","AG0087","Sun dried DF 5%","CP",168.8,TRUE,FALSE
"147","AG0087","Sun dried DF 5%","NDF",NA,TRUE,FALSE
"148","AG0087","Sun dried DF 5%","Ash",NA,TRUE,FALSE
"149","AG0087","Sun dried DF 5%","EE",NA,TRUE,FALSE
"150","AG0087","Sun dried DF 5%","GE",NA,TRUE,FALSE
"151","AN0007","T1","CP",128,TRUE,FALSE
"152","AN0007","T1","NDF",NA,TRUE,FALSE
"153","AN0007","T1","Ash",42,TRUE,FALSE
"154","AN0007","T1","EE",30,TRUE,FALSE
"155","AN0007","T1","GE",NA,TRUE,FALSE
"156","AN0007","T2","CP",132,TRUE,FALSE
"157","AN0007","T2","NDF",NA,TRUE,FALSE
"158","AN0007","T2","Ash",52,TRUE,FALSE
"159","AN0007","T2","EE",32,TRUE,FALSE
"160","AN0007","T2","GE",NA,TRUE,FALSE
"161","AN0007","T3","CP",136,TRUE,FALSE
"162","AN0007","T3","NDF",NA,TRUE,FALSE
"163","AN0007","T3","Ash",60,TRUE,FALSE
"164","AN0007","T3","EE",36,TRUE,FALSE
"165","AN0007","T3","GE",NA,TRUE,FALSE
"166","AN0007","T4","CP",142,TRUE,FALSE
"167","AN0007","T4","NDF",NA,TRUE,FALSE
"168","AN0007","T4","Ash",66,TRUE,FALSE
"169","AN0007","T4","EE",39,TRUE,FALSE
"170","AN0007","T4","GE",NA,TRUE,FALSE
"171","AN0007","T5","CP",150,TRUE,FALSE
"172","AN0007","T5","NDF",NA,TRUE,FALSE
"173","AN0007","T5","Ash",75,TRUE,FALSE
"174","AN0007","T5","EE",45,TRUE,FALSE
"175","AN0007","T5","GE",NA,TRUE,FALSE
"176","AN0021","U0","CP",88.7,TRUE,FALSE
"177","AN0021","U0","NDF",661.9,TRUE,FALSE
"178","AN0021","U0","Ash",100.4,TRUE,FALSE
"179","AN0021","U0","EE",48.3,TRUE,FALSE
"180","AN0021","U0","GE",NA,TRUE,FALSE
"181","AN0021","U10","CP",117.6,TRUE,FALSE
"182","AN0021","U10","NDF",625.1,TRUE,FALSE
"183","AN0021","U10","Ash",119.9,TRUE,FALSE
"184","AN0021","U10","EE",37.6,TRUE,FALSE
"185","AN0021","U10","GE",NA,TRUE,FALSE
"186","AN0021","U15","CP",130.7,TRUE,FALSE
"187","AN0021","U15","NDF",618.2,TRUE,FALSE
"188","AN0021","U15","Ash",120.8,TRUE,FALSE
"189","AN0021","U15","EE",41.1,TRUE,FALSE
"190","AN0021","U15","GE",NA,TRUE,FALSE
"191","AN0021","U20","CP",138.4,TRUE,FALSE
"192","AN0021","U20","NDF",627.9,TRUE,FALSE
"193","AN0021","U20","Ash",104,TRUE,FALSE
"194","AN0021","U20","EE",38.5,TRUE,FALSE
"195","AN0021","U20","GE",NA,TRUE,FALSE
"196","AN0027","Control PDS","CP",185.1,TRUE,FALSE
"197","AN0027","Control PDS","NDF",342.3,TRUE,FALSE
"198","AN0027","Control PDS","Ash",85.6,TRUE,FALSE
"199","AN0027","Control PDS","EE",32.5,TRUE,FALSE
"200","AN0027","Control PDS","GE",NA,TRUE,FALSE
"201","AN0027","R1","CP",179.9,TRUE,FALSE
"202","AN0027","R1","NDF",376.6,TRUE,FALSE
"203","AN0027","R1","Ash",87.5,TRUE,FALSE
"204","AN0027","R1","EE",34.9,TRUE,FALSE
"205","AN0027","R1","GE",NA,TRUE,FALSE
"206","AN0027","R2","CP",179.9,TRUE,FALSE
"207","AN0027","R2","NDF",376.6,TRUE,FALSE
"208","AN0027","R2","Ash",87.5,TRUE,FALSE
"209","AN0027","R2","EE",34.9,TRUE,FALSE
"210","AN0027","R2","GE",NA,TRUE,FALSE
"211","AN0029","T1 Control","CP",259.6,FALSE,FALSE
"212","AN0029","T1 Control","NDF",NA,FALSE,FALSE
"213","AN0029","T1 Control","Ash",38.4,FALSE,FALSE
"214","AN0029","T1 Control","EE",NA,FALSE,FALSE
"215","AN0029","T1 Control","GE",20.3852848,FALSE,FALSE
"216","AN0029","T2 1.5%","CP",259.6,TRUE,FALSE
"217","AN0029","T2 1.5%","NDF",NA,TRUE,FALSE
"218","AN0029","T2 1.5%","Ash",38.4,TRUE,FALSE
"219","AN0029","T2 1.5%","EE",NA,TRUE,FALSE
"220","AN0029","T2 1.5%","GE",20.3852848,TRUE,FALSE
"221","AN0029","T3 2.5%","CP",259.6,TRUE,FALSE
"222","AN0029","T3 2.5%","NDF",NA,TRUE,FALSE
"223","AN0029","T3 2.5%","Ash",38.4,TRUE,FALSE
