"","B.Code","A.Level.Name","ED.Intake.Item","ED.Intake.Item.Raw","ED.Mean.T","ED.Error","Out.Subind","P.Product","is_entire_diet","is_group","T.Animals","Out.Unit.Animals","Out.Unit.Time","Out.Unit.Amount","Out.WG.Start","Out.WG.Unit","ED_item_clean"
"95","BO1004","Treatment 2","Noug Seed Cake","Noug Seed Cake",0.7069,43.2,"Feed Intake",NA,FALSE,NA,3,"individual","day","kg",26.7,"kg","noug seed cake"
"96","BO1004","Treatment 2","Sesbania sesban Leaves Dried Ground","Sesbania sesban Leaves||Grinding||Drying",0.316,43.2,"Feed Intake",NA,FALSE,NA,3,"individual","day","kg",26.7,"kg","sesbania sesban leaves dried ground"
"97","BO1004","Treatment 3","Entire Diet","Entire Diet",0.6141,44.3,"Feed Intake",NA,TRUE,NA,3,NA,NA,"kg",26.7,"kg","entire diet"
"98","BO1004","Treatment 3","Natural Pasture Dried","Natural Pasture||Chopping||Drying",0.2409,43.2,"Feed Intake",NA,FALSE,NA,3,"individual","day","kg",26.7,"kg","natural pasture dried"
"99","BO1004","Treatment 3","Noug Seed Cake","Noug Seed Cake",0.624,43.2,"Feed Intake",NA,FALSE,NA,3,"individual","day","kg",26.7,"kg","noug seed cake"
"100","BO1004","Treatment 3","Sesbania sesban Leaves Dried Ground","Sesbania sesban Leaves||Grinding||Drying",0.3831,43.2,"Feed Intake",NA,FALSE,NA,3,"individual","day","kg",26.7,"kg","sesbania sesban leaves dried ground"
"101","BO1005","OSCM","Entire Diet","Entire Diet",0.865,43,"Feed Intake",NA,TRUE,NA,8,"individual","day","kg",23.1,"kg","entire diet"
"102","BO1005","TMRL","Entire Diet","Entire Diet",0.885,43,"Feed Intake",NA,TRUE,NA,8,"individual","day","kg",22.9,"kg","entire diet"
"103","BO1006","Ration 1","Entire Diet","Entire Diet",1.1562,32.84,"Feed Intake",NA,TRUE,NA,9,"individual","day","kg",20.56,"kg","entire diet"
"104","BO1006","Ration 2","Entire Diet","Entire Diet",1.3308,32.84,"Feed Intake",NA,TRUE,NA,9,"individual","day","kg",20.52,"kg","entire diet"
"105","BO1006","Ration 3","Entire Diet","Entire Diet",1.10065,32.84,"Feed Intake",NA,TRUE,NA,9,"individual","day","kg",20.32,"kg","entire diet"
"106","BO1007","HAK10","Entire Diet","Entire Diet",0.264,NA,"Feed Intake",NA,TRUE,NA,3,"individual","day","kg",23.15,"kg","entire diet"
"107","BO1007","HAK15","Entire Diet","Entire Diet",0.337,NA,"Feed Intake",NA,TRUE,NA,3,"individual","day","kg",22.52,"kg","entire diet"
"108","BO1007","HAK20","Entire Diet","Entire Diet",0.37,NA,"Feed Intake",NA,TRUE,NA,3,"individual","day","kg",23.97,"kg","entire diet"
"109","BO1007","HAK30","Entire Diet","Entire Diet",0.288,NA,"Feed Intake",NA,TRUE,NA,3,"individual","day","kg",22.85,"kg","entire diet"
"110","BO1008","Control","Entire Diet","Entire Diet",0.68,NA,"Feed Intake",NA,TRUE,NA,NA,"individual","day","kg",43.28,"kg","entire diet"
"111","BO1008","Control","Trifolium alexandrinum Dried","Trifolium alexandrinum||Chopping||Drying",0.9,NA,"Feed Intake",NA,FALSE,NA,NA,"individual","day","kg",43.28,"kg","trifolium alexandrinum dried"
"112","BO1008","G1","Entire Diet","Entire Diet",0.7,NA,"Feed Intake",NA,TRUE,NA,NA,"individual","day","kg",43.71,"kg","entire diet"
