"","B.Code","A.Level.Name","D.Item","D.Type","D.Amount","D.Unit.Amount","D.Unit.Time","D.Unit.Animals","DC.Is.Dry","D.Ad.lib","D.Item.Group","D.Item.AOM","AOM.Scientific.Name","Source","Units","T.Animals","D.Unit.Standard","Out.WG.Start","Out.WG.Unit","intake_source","ignore_for_balance","T.Name","T.Control"
"51","AG0087","Direct boiling DF 1.5%","Dicalcium Phosphate","Non-ERA Feed;from_pct_using_pred_archimede2014",0.000152978583335489,"kg","day","individual","Yes",NA,"Base","AOM_000757",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.1635,"kg","original",FALSE,"Direct boiling DF 1.5%","no"
"52","AG0087","Direct boiling DF 1.5%","Antitoxins","Non-ERA Feed;from_pct_using_pred_archimede2014",0.000122382866668391,"kg","day","individual","Yes",NA,"Base","AOM_000782",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.1635,"kg","original",FALSE,"Direct boiling DF 1.5%","no"
"53","AG0087","Direct boiling DF 1.5%","Wheat Bran","Crop Byproduct;from_pct_using_pred_archimede2014",0.0110144580001552,"kg","day","individual","Yes",NA,"Base","AOM_000585","Triticum aestivum","livestock","% Diet;NA;individual",10,"% Diet NA individual",1.1635,"kg","original",FALSE,"Direct boiling DF 1.5%","no"
"54","AG0087","Direct boiling DF 1.5%","Fish Boiled Ground","Animal;from_pct_using_pred_archimede2014",0.000917871500012934,"kg","day","individual","Yes",NA,NA,"AOM_001098",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.1635,"kg","original",FALSE,"Direct boiling DF 1.5%","no"
"55","AG0087","Direct boiling DF 1.5%","Lime","Non-ERA Feed;from_pct_using_pred_archimede2014",0.00611914333341956,"kg","day","individual","Yes",NA,"Base","AOM_000760",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.1635,"kg","original",FALSE,"Direct boiling DF 1.5%","no"
"56","AG0087","Direct boiling DF 1.5%","Mixture","Non-ERA Feed;from_pct_using_pred_archimede2014",6.11914333341956e-05,"kg","day","individual","Yes",NA,"Base","AOM_000795",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.1635,"kg","original",FALSE,"Direct boiling DF 1.5%","no"
"57","AG0087","Direct boiling DF 1.5%","Salt","Non-ERA Feed;from_pct_using_pred_archimede2014",0.000183574300002587,"kg","day","individual","Yes",NA,"Base","AOM_000772",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.1635,"kg","original",TRUE,"Direct boiling DF 1.5%","no"
"58","AG0087","Direct boiling DF 1.5%","Sorghum Grain","Crop Product;from_pct_using_pred_archimede2014",0.0330433740004656,"kg","day","individual","Yes",NA,NA,"AOM_000657","Sorghum bicolor","livestock","% Diet;NA;individual",10,"% Diet NA individual",1.1635,"kg","original",FALSE,"Direct boiling DF 1.5%","no"
"59","AG0087","Direct boiling DF 1.5%","Methionine","Non-ERA Feed;from_pct_using_pred_archimede2014",2.44765733336782e-05,"kg","day","individual","Yes",NA,"Base","AOM_001377",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.1635,"kg","original",FALSE,"Direct boiling DF 1.5%","no"
"60","AG0087","Direct boiling DF 1.5%","Groundnut Cake","Crop Byproduct;from_pct_using_pred_archimede2014",0.00734909114343689,"kg","day","individual","Yes",NA,NA,"AOM_001254","Arachis hypogaea","livestock","% Diet;NA;individual",10,"% Diet NA individual",1.1635,"kg","original",FALSE,"Direct boiling DF 1.5%","no"
